time,ram_limit,cpu_limit,ram_usage,cpu_usage,n,c,lat50,lat66,lat75,lat80,lat90,lat95,lat98,lat99,lat100
1636467153,75M,0.5,43921408.0,0.064585,100,1,97000,101000,103000,104000,107000,114000,119000,167000,167000
1636467174,75M,0.5,43921408.0,0.0,100,11,1234000,1249000,1252000,1253000,1270000,1283000,1283000,1284000,1284000
1636467195,75M,0.5,43921408.0,0.0,100,21,2261000,2296000,2299000,2300000,2305000,2316000,2325000,2332000,2332000
1636467216,75M,0.5,43921408.0,0.0,100,31,3493000,3499000,3502000,3531000,3613000,3636000,3926000,3941000,3941000
1636467237,75M,0.5,43921408.0,0.0,100,41,4738000,4810000,4872000,4904000,4957000,5130000,5566000,6218000,6218000
1636467259,75M,0.5,43921408.0,0.0,100,51,5505000,6173000,6311000,6515000,6901000,7307000,8028000,9337000,9337000
1636467286,75M,0.5,43921408.0,0.0,100,61,8374000,9575000,10286000,11015000,12958000,15066000,15767000,16158000,16158000
1636467309,75M,0.5,43921408.0,0.0,100,71,7300000,7660000,7851000,7949000,8652000,8756000,9269000,9889000,9889000
1636467334,75M,0.5,43921408.0,0.0,100,81,9567000,9951000,10868000,12057000,13862000,14549000,15043000,15048000,15048000
1636467360,75M,0.5,43921408.0,0.0,100,91,11158000,13135000,13660000,13940000,15251000,15556000,15937000,15937000,15937000
1636467387,75M,0.5,43921408.0,0.0,200,1,94000,97000,99000,100000,104000,108000,112000,157000,160000
1636467418,75M,0.5,0.0,0.0,200,11,1182000,1192000,1196000,1197000,1214000,1224000,1225000,1228000,1239000
1636467457,75M,0.5,0.0,0.0,200,21,2862000,3188000,3353000,3508000,3975000,4278000,4685000,4795000,4922000
1636467494,75M,0.5,0.0,0.0,200,31,3896000,4310000,4651000,4809000,5297000,5597000,5997000,6620000,6790000
1636467526,75M,0.5,0.0,0.0,200,41,4537000,4646000,4660000,4664000,4670000,4674000,4722000,4876000,5163000
1636467564,75M,0.5,0.0,0.0,200,51,6793000,7585000,8077000,8388000,9300000,10058000,10912000,11679000,15182000
1636467600,75M,0.5,0.0,0.0,200,61,6418000,7528000,8140000,8613000,9808000,11109000,12153000,12245000,12733000
1636467638,75M,0.5,0.0,0.0,200,71,8245000,10050000,11712000,12587000,14407000,16911000,20178000,21122000,21277000
1636467677,75M,0.5,0.0,0.0,200,81,9914000,11829000,13467000,13814000,15314000,16593000,18011000,19305000,19873000
1636467711,75M,0.5,0.0,0.0,200,91,8823000,9565000,10069000,10637000,11960000,14951000,15932000,16248000,16350000
1636467809,75M,0.5,0.0,0.0,300,1,96000,101000,104000,105000,109000,113000,161000,169000,175000
1636467851,75M,0.5,0.0,0.0,300,11,1172000,1220000,1232000,1238000,1265000,1344000,1523000,1630000,1840000
1636467894,75M,0.5,0.0,0.0,300,21,2283000,2339000,2355000,2359000,2398000,2441000,2454000,2455000,2478000
1636467947,75M,0.5,0.0,0.0,300,31,4400000,4787000,5111000,5375000,5714000,6192000,6611000,6712000,7108000
1636467999,75M,0.5,0.0,0.0,300,41,5507000,6010000,6309000,6504000,7095000,7796000,8511000,9567000,10769000
1636468048,75M,0.5,0.0,0.0,300,51,5560000,6174000,7082000,7504000,8802000,9903000,11395000,12264000,12981000
1636468104,75M,0.5,0.0,0.0,300,61,8409000,9550000,10680000,11198000,12916000,14704000,15811000,16808000,19510000
1636468223,75M,0.5,0.0,0.0,300,81,8388000,8585000,8789000,8845000,9160000,10053000,10766000,10895000,11276000
1636468265,75M,0.5,0.0,0.0,300,91,9716000,9920000,10026000,10189000,10620000,10822000,10969000,11588000,11836000
1636468308,75M,0.5,0.0,0.0,300,101,10453000,10916000,11294000,11676000,12381000,13426000,13755000,13849000,14158000
1636468355,75M,0.5,0.0,0.0,400,1,95000,99000,101000,103000,109000,115000,158000,167000,168000
1636468408,75M,0.5,0.0,0.0,400,11,1185000,1197000,1205000,1212000,1227000,1236000,1259000,1267000,1268000
1636468460,75M,0.5,0.0,0.0,400,21,2281000,2301000,2305000,2307000,2325000,2326000,2334000,2348000,2457000
1636468532,75M,0.5,0.0,0.0,400,31,4690000,5307000,5686000,5882000,6484000,6890000,7605000,7896000,9696000
1636468603,75M,0.5,0.0,0.0,400,41,6004000,6605000,7089000,7399000,8109000,8908000,10023000,10801000,12647000
1636468766,75M,0.5,0.0,0.0,400,61,8988000,10108000,10772000,11455000,13314000,15022000,17171000,19519000,21212000
1636468820,75M,0.5,0.0,0.0,400,71,7697000,7947000,7987000,8059000,8098000,8107000,8468000,9466000,9704000
1636468900,75M,0.5,0.0,0.0,400,81,12788000,14991000,16493000,17582000,20994000,23165000,26973000,31456000,38781000
1636468982,75M,0.5,0.0,0.0,400,91,14433000,17811000,19920000,20829000,23896000,26731000,31288000,34227000,39511000
1636469048,75M,0.5,0.0,0.0,400,101,11320000,13404000,14620000,16231000,19375000,22582000,25577000,29868000,33318000
1636469138,75M,0.5,0.0,0.0,500,1,101000,114000,178000,200000,399000,503000,576000,598000,668000
1636469200,75M,0.5,0.0,0.0,500,11,1132000,1153000,1163000,1166000,1183000,1415000,1666000,1959000,2472000
1636469269,75M,0.5,0.0,0.0,500,21,2226000,2278000,2522000,2712000,3110000,3707000,5384000,6801000,10598000
1636469360,75M,0.5,0.0,0.0,500,31,4711000,5290000,5689000,5915000,6575000,7419000,8294000,13905000,29182000
1636469571,75M,0.5,0.0,0.0,500,51,8033000,8887000,9587000,9966000,11215000,12800000,18300000,23998000,36397000
1636469803,75M,0.5,0.0,0.0,500,71,12173000,13600000,15086000,15990000,18380000,22501000,24697000,27698000,32292000
1636469912,75M,0.5,0.0,0.0,500,81,14975000,17382000,18892000,19795000,23177000,25387000,28237000,32178000,35901000
1636470239,75M,0.5,0.0,0.0,600,1,118000,207000,309000,392000,511000,601000,687000,709000,720000
1636472056,74M,0.5,63508480.0,0.467556,100,1,106000,119000,184000,226000,500000,6107000,30067000,55298000,55298000
1636472188,74M,0.5,64606208.0,0.479618,100,11,2081000,2773000,21204000,30206000,48694000,57978000,84172000,93771000,93771000
1636472342,74M,0.5,66363392.0,0.493969,100,21,29317000,42310000,46195000,51303000,73185000,87382000,91687000,93097000,93097000
1636472484,74M,0.5,70930432.0,0.500076,100,31,40144000,52307000,56914000,59709000,68144000,75444000,91043000,97057000,97057000
1636472511,74M,0.5,70930432.0,0.486262,100,41,5580000,6199000,6541000,6985000,8303000,9003000,13802000,15523000,15523000
1636472537,74M,0.5,70983680.0,0.486262,100,51,5977000,7093000,7769000,8178000,9575000,12039000,14254000,15652000,15652000
1636472565,74M,0.5,70983680.0,0.467595,100,61,8150000,9086000,9645000,10166000,13231000,15835000,16835000,16938000,16938000
1636472595,74M,0.5,67383296.0,0.467425,100,71,10907000,13141000,14532000,15441000,18145000,19332000,19941000,19949000,19949000
1636472623,74M,0.5,68702208.0,0.468715,100,81,11877000,14141000,14853000,15147000,16151000,17742000,17837000,17838000,17838000
1636472655,74M,0.5,68702208.0,0.48572,100,91,17245000,19960000,20455000,21041000,21651000,21957000,22358000,22553000,22553000
1636472799,74M,0.5,65695744.0,0.48572,200,1,685000,801000,904000,1001000,1183000,1290000,1390000,1491000,1579000
1636472849,74M,0.5,65892352.0,0.501322,200,11,2015000,2379000,2593000,2769000,3263000,3765000,3984000,4494000,5798000
1636472903,74M,0.5,66347008.0,0.501085,200,21,3202000,3674000,4149000,4783000,9435000,13392000,15062000,15484000,15695000
1636472967,74M,0.5,62304256.0,0.49976,200,31,5989000,6919000,7814000,9402000,14994000,17304000,20748000,23397000,26345000
1636473115,74M,0.5,61997056.0,0.493609,200,51,9748000,11584000,13069000,14297000,19284000,23482000,29996000,31287000,36363000
1636473179,74M,0.5,63537152.0,0.49411,200,61,13130000,16097000,18072000,19509000,22893000,28928000,32242000,34646000,34943000
1636473259,74M,0.5,66510848.0,0.493826,200,71,15065000,20516000,23194000,25588000,34744000,38890000,41720000,42795000,45843000
1636473349,74M,0.5,67772416.0,0.485833,200,81,22243000,28548000,33395000,35910000,39850000,47797000,54429000,58364000,59236000
1636473460,74M,0.5,68505600.0,0.486178,200,91,32993000,41034000,45550000,49794000,62330000,70329000,77437000,83932000,86236000
1636473554,74M,0.5,69066752.0,0.503052,200,101,33037000,40396000,48050000,50599000,62340000,72338000,78569000,79845000,81335000
1636474268,74M,0.5,69443584.0,0.504397,300,1,290000,424000,502000,534000,709000,13303000,39298000,46399000,76504000
1636474800,74M,0.5,65847296.0,0.488618,300,31,4326000,4790000,5303000,5675000,11200000,15217000,17587000,18699000,21812000
1636474865,74M,0.5,68026368.0,0.488852,300,51,7086000,8282000,8989000,9997000,13199000,14946000,18409000,18784000,19014000
1636475225,74M,0.5,68497408.0,0.501366,300,91,20656000,25750000,28781000,30596000,35906000,40956000,46763000,53687000,56158000
1636476666,74M,0.5,69459968.0,0.504086,400,1,389000,499000,575000,603000,6801000,19999000,44299000,73108000,77097000
1636476923,74M,0.5,71020544.0,0.502719,400,11,2087000,2525000,2909000,3294000,7085000,47098000,70195000,91501000,119581000
1636477016,74M,0.5,71020544.0,0.502474,400,21,3005000,3690000,4194000,5285000,8562000,12391000,16013000,18708000,20493000
1636477098,74M,0.5,67665920.0,0.501915,400,31,4122000,4920000,5401000,5803000,9365000,15287000,20780000,24687000,29419000
1636477189,74M,0.5,67371008.0,0.502556,400,41,6397000,7289000,7907000,8685000,13814000,22102000,30011000,32299000,42885000
1636477280,74M,0.5,64008192.0,0.50438,400,51,8492000,9632000,10830000,11580000,16305000,21751000,30087000,32197000,32833000
1636477377,74M,0.5,63926272.0,0.504622,400,61,11292000,13313000,14886000,16379000,20293000,25019000,30293000,34020000,38016000
1636477495,74M,0.5,64933888.0,0.504169,400,71,17598000,20737000,23400000,25015000,29585000,33107000,37448000,40597000,47209000
1636477611,74M,0.5,67104768.0,0.503556,400,81,19616000,23595000,26293000,27490000,32750000,37906000,43908000,49508000,58115000
1636477730,74M,0.5,69206016.0,0.503202,400,91,21416000,26801000,29505000,31694000,38597000,43690000,52884000,56710000,65801000
1636477845,74M,0.5,69582848.0,0.503439,400,101,23870000,28760000,31783000,33196000,39898000,44199000,52204000,60405000,70400000
1636479000,74M,0.5,65433600.0,0.503949,500,11,8505000,13404000,18800000,23194000,33132000,40264000,52510000,59695000,67899000
1636479489,74M,0.5,69292032.0,0.504547,500,21,17716000,24412000,29904000,34097000,43588000,49960000,61195000,62702000,85907000
1636480076,74M,0.5,71761920.0,0.505013,500,31,28399000,39291000,47602000,52901000,67905000,85581000,107197000,122498000,138494000
1636482271,73M,0.5,60968960.0,0.356033,100,1,91000,96000,100000,101000,107000,217000,11300000,20895000,20895000
1636482340,73M,0.5,60207104.0,0.360309,100,11,1189000,1655000,11701000,15231000,22340000,25749000,30142000,36427000,36427000
1636482419,73M,0.5,62988288.0,0.393701,100,21,12515000,18000000,22199000,25311000,36089000,39383000,48691000,51787000,51787000
1636482508,73M,0.5,64659456.0,0.466221,100,31,20989000,24899000,28090000,30514000,37504000,44809000,63311000,65699000,65699000
1636482602,73M,0.5,67604480.0,0.479008,100,41,26515000,32099000,36703000,37787000,39794000,42501000,54931000,63317000,63317000
1636482720,73M,0.5,70524928.0,0.467688,100,61,34282000,42871000,49901000,58003000,66395000,71979000,79798000,98275000,98275000
1636486080,72M,0.5,52543488.0,0.303902,100,1,97000,100000,104000,106000,116000,155000,196000,8398000,8398000
1636486126,72M,0.5,54292480.0,0.355739,100,11,1147000,1694000,5337000,9062000,12506000,15862000,19461000,21170000,21170000
1636486184,72M,0.5,58839040.0,0.388297,100,21,9406000,10912000,14401000,17495000,21526000,24620000,29419000,30219000,30219000
1636486269,72M,0.5,60772352.0,0.422396,100,31,19000000,26897000,31095000,32313000,45701000,52411000,59692000,64792000,64792000
1636486343,72M,0.5,63578112.0,0.452151,100,41,22912000,25392000,29102000,29786000,37100000,39985000,42487000,46988000,46988000
1636486440,72M,0.5,66678784.0,0.455906,100,51,25244000,39544000,46795000,52202000,61101000,65106000,68202000,77195000,77195000
1636486525,72M,0.5,69857280.0,0.45951,100,61,28217000,33816000,38710000,43302000,50400000,54707000,58812000,58913000,58913000
1636486663,72M,0.5,70254592.0,0.473215,100,71,97824000,98702000,127630000,127632000,127636000,127638000,127639000,127639000,127639000
1636489763,71M,0.5,64237568.0,0.386081,100,1,288000,302000,393000,502000,705000,910000,1107000,1299000,1299000
1636489788,71M,0.5,64290816.0,0.411172,100,11,1611000,1875000,1953000,2006000,2348000,2688000,3247000,3618000,3618000
1636489813,71M,0.5,58445824.0,0.430821,100,21,2750000,3065000,3274000,3592000,4026000,4598000,6761000,6969000,6969000
1636489843,71M,0.5,57946112.0,0.430821,100,41,6686000,7407000,7809000,8480000,9289000,10567000,12291000,12673000,12673000
1636489874,71M,0.5,59842560.0,0.444598,100,51,7909000,9001000,9489000,9649000,10879000,12265000,19243000,20144000,20144000
1636489908,71M,0.5,59842560.0,0.481854,100,61,11064000,12150000,13048000,14530000,16143000,19247000,20831000,20845000,20845000
1636489947,71M,0.5,61198336.0,0.484041,100,71,16387000,20139000,21932000,23035000,24946000,26143000,27842000,28138000,28138000
1636489990,71M,0.5,63041536.0,0.49389,100,81,22389000,26544000,27946000,29549000,31051000,32642000,33148000,33148000,33148000
1636490026,71M,0.5,63094784.0,0.49596,100,91,17641000,19555000,20757000,21048000,23230000,23928000,24842000,25042000,25042000
1636490314,71M,0.5,63991808.0,0.501344,200,1,345000,526000,656000,798000,4005000,6996000,15703000,23108000,27298000
1636490465,71M,0.5,60129280.0,0.501127,200,11,1957000,10403000,13192000,14708000,19402000,24896000,42005000,45002000,49704000
1636490705,71M,0.5,63426560.0,0.498073,200,21,23366000,29907000,32700000,35495000,45096000,49692000,59401000,70200000,76192000
1636490944,71M,0.5,65261568.0,0.485751,200,31,28603000,36611000,39475000,43899000,52599000,59593000,75507000,77693000,130664000
1636491221,71M,0.5,67428352.0,0.486364,200,41,43098000,52297000,59507000,65203000,78933000,94003000,119892000,132990000,138890000
1636493039,70M,0.5,55398400.0,0.252672,100,1,97000,102000,105000,110000,117000,163000,11305000,13279000,13279000
1636493090,70M,0.5,53559296.0,0.284496,100,11,1426000,1846000,6823000,11014000,14198000,17493000,20703000,25318000,25318000
1636493156,70M,0.5,56578048.0,0.318563,100,21,6018000,17394000,20486000,22495000,27281000,34781000,37485000,40189000,40189000
1636493230,70M,0.5,60063744.0,0.435106,100,31,21681000,23704000,27119000,31018000,36099000,41513000,53191000,54900000,54900000
1636493321,70M,0.5,64012288.0,0.478413,100,41,33530000,39208000,43025000,47001000,54229000,60026000,77044000,77531000,77531000
1636493407,70M,0.5,65884160.0,0.467031,100,51,26697000,33303000,39316000,43302000,51310000,56201000,64222000,70002000,70002000
1636493528,70M,0.5,66805760.0,0.453089,100,61,53501000,62823000,73530000,75318000,83419000,89425000,101620000,108416000,108416000
1636493632,70M,0.5,67514368.0,0.468592,100,71,34538000,53846000,66804000,68498000,77880000,87339000,92040000,92139000,92139000
1636494142,69M,0.5,33521664.0,0.0,100,1,198000,202000,205000,206000,280000,298000,309000,380000,380000
1636494180,69M,0.5,43376640.0,0.039923,100,11,2993000,3285000,3515000,3705000,4187000,4498000,4713000,5100000,5100000
1636494221,69M,0.5,48689152.0,0.124783,100,21,5866000,6796000,7276000,7786000,8498000,9103000,9704000,9788000,9788000
1636494269,69M,0.5,53080064.0,0.161243,100,31,10097000,12408000,13487000,13707000,16300000,17771000,18301000,18590000,18590000
1636494311,69M,0.5,56086528.0,0.241858,100,41,11461000,13326000,14849000,15055000,17943000,20040000,23743000,23743000,23743000
1636494374,69M,0.5,57843712.0,0.322362,100,51,23247000,30238000,32598000,34839000,38240000,41441000,47740000,48641000,48641000
1636494419,69M,0.5,60940288.0,0.358962,100,61,17897000,22705000,25599000,26197000,27518000,27915000,29209000,29823000,29823000
1636494482,69M,0.5,61788160.0,0.403675,100,71,31723000,39727000,44524000,45445000,49722000,51322000,52131000,52536000,52536000
1636494530,69M,0.5,62963712.0,0.406406,100,81,27063000,29638000,31516000,32520000,35322000,36322000,37313000,37448000,37448000
1636494578,69M,0.5,64065536.0,0.406406,100,91,27924000,31523000,35424000,36540000,37326000,37832000,38336000,38337000,38337000
1636494636,69M,0.5,64376832.0,0.413847,200,1,199000,206000,215000,283000,314000,692000,907000,995000,1007000
1636494712,69M,0.5,64389120.0,0.41513,200,11,3212000,3695000,3903000,4088000,4500000,5211000,11291000,14818000,17713000
1636494787,69M,0.5,61476864.0,0.423547,200,21,6202000,6905000,7302000,7498000,8506000,10502000,21004000,26603000,27298000
1636494885,69M,0.5,61026304.0,0.438878,200,31,11421000,14206000,15911000,17899000,20899000,24524000,34239000,42288000,42796000
1636495028,69M,0.5,60825600.0,0.457099,200,41,23801000,28189000,33699000,35185000,42193000,49599000,56300000,64297000,65395000
1636495178,69M,0.5,63598592.0,0.471348,200,51,30513000,37197000,43401000,46794000,53405000,62099000,73005000,77200000,79495000
1636495320,69M,0.5,66375680.0,0.485692,200,61,35288000,43200000,49886000,52699000,63603000,69604000,82103000,85403000,86903000
1636495955,68M,0.5,41029632.0,0.0,100,1,204000,210000,220000,282000,296000,300000,309000,311000,311000
1636495990,68M,0.5,46665728.0,0.06526,100,11,2891000,3087000,3393000,3498000,3894000,4309000,4781000,4790000,4790000
1636496030,68M,0.5,51515392.0,0.099743,100,21,6093000,6660000,7091000,7498000,8101000,8356000,8941000,14182000,14182000
1636496071,68M,0.5,57372672.0,0.137312,100,31,9410000,10493000,11204000,11789000,12379000,13544000,14585000,14633000,14633000
1636496108,68M,0.5,60846080.0,0.181567,100,41,10004000,11505000,14689000,15408000,16310000,16331000,17000000,21408000,21408000
1636496158,68M,0.5,60846080.0,0.255483,100,51,16741000,19450000,26036000,30641000,30936000,30942000,33146000,34666000,34666000
1636496212,68M,0.5,60444672.0,0.337246,100,61,23435000,25206000,30336000,32739000,39842000,42531000,42955000,44045000,44045000
1636496281,68M,0.5,62697472.0,0.388009,100,71,34650000,50125000,52933000,54734000,56840000,57935000,58641000,58740000,58740000
1636496342,68M,0.5,64102400.0,0.409948,100,81,36319000,42621000,45454000,46712000,48828000,49327000,49516000,50338000,50338000
1636496403,68M,0.5,65343488.0,0.417807,100,91,43939000,47342000,47923000,48835000,50040000,50941000,51445000,51542000,51542000
1636496525,68M,0.5,65343488.0,0.433216,200,1,499000,704000,809000,897000,1064000,1113000,1292000,1402000,1597000
1636496619,68M,0.5,61915136.0,0.447034,200,11,3598000,3896000,4297000,4498000,8402000,12308000,16207000,19800000,19990000
1636496710,68M,0.5,61915136.0,0.449829,200,21,6811000,7594000,8401000,8982000,12512000,19537000,27507000,31389000,32408000
1636496824,68M,0.5,58753024.0,0.456288,200,31,13906000,17711000,20235000,21709000,26904000,29600000,34301000,37797000,45697000
1636496964,68M,0.5,60284928.0,0.468277,200,41,23204000,31483000,35902000,39104000,45119000,51411000,57996000,64594000,66005000
1636497105,68M,0.5,65212416.0,0.469869,200,51,27997000,35397000,42911000,46509000,57798000,63900000,78401000,82493000,89528000
1636498075,66M,0.5,37441536.0,0.0,100,1,203000,211000,275000,285000,297000,302000,310000,368000,368000
1636498115,66M,0.5,42999808.0,0.046251,100,11,3486000,3697000,3895000,4091000,4398000,4784000,5084000,5104000,5104000
1636498160,66M,0.5,49442816.0,0.119656,100,21,6936000,7738000,8190000,8400000,9716000,11402000,12686000,13405000,13405000
1636498204,66M,0.5,54497280.0,0.156379,100,31,9357000,10901000,12503000,13017000,14433000,16209000,17998000,20915000,20915000
1636498247,66M,0.5,56107008.0,0.23304,100,41,11190000,13403000,16084000,16442000,18913000,21235000,23246000,27243000,27243000
1636498290,66M,0.5,56107008.0,0.237564,100,51,14307000,17589000,18741000,20900000,21945000,22712000,25355000,25843000,25843000
1636498353,66M,0.5,57262080.0,0.35624,100,61,29124000,32139000,37651000,39326000,49130000,52629000,53132000,53425000,53425000
1636498412,66M,0.5,60305408.0,0.40619,100,71,30651000,32035000,35757000,38447000,43139000,45450000,46335000,48146000,48146000
1636498488,66M,0.5,64081920.0,0.414299,100,81,33644000,34440000,38637000,43240000,49035000,53639000,57636000,58241000,58241000
1636500174,65M,0.5,63053824.0,0.426702,100,1,106000,115000,190000,219000,381000,595000,14656000,51154000,51154000
1636500200,65M,0.5,61886464.0,0.425249,100,11,1689000,1853000,2016000,2078000,2293000,2599000,3394000,4515000,4515000
1636500227,65M,0.5,61894656.0,0.425249,100,21,2899000,3190000,3299000,3495000,4268000,7704000,10590000,12454000,12454000
1636500254,65M,0.5,61898752.0,0.43732,100,31,4199000,4674000,5062000,5200000,6055000,8837000,12311000,13736000,13736000
1636500277,65M,0.5,61898752.0,0.43732,100,41,4724000,4832000,4914000,5083000,5377000,5606000,7150000,7476000,7476000
1636500302,65M,0.5,61698048.0,0.43976,100,51,6474000,6969000,7575000,7777000,8411000,9858000,14743000,14939000,14939000
1636500328,65M,0.5,59375616.0,0.473534,100,61,7573000,8361000,9088000,9756000,11754000,14749000,15246000,15260000,15260000
1636500349,65M,0.5,56979456.0,0.49195,100,71,7372000,7993000,8165000,8282000,8560000,8811000,8922000,9077000,9077000
1636500374,65M,0.5,56598528.0,0.493033,100,81,7877000,8133000,8588000,9370000,9971000,10447000,11747000,14535000,14535000
1636500415,65M,0.5,61407232.0,0.493033,100,91,20668000,23475000,25075000,25573000,26657000,27565000,29361000,30366000,30366000
1636500682,65M,0.5,61550592.0,0.495187,200,1,195000,413000,508000,604000,1986000,7399000,18301000,33201000,35905000
1636500902,65M,0.5,59326464.0,0.500997,200,11,2020000,12169000,21451000,25393000,35009000,42496000,48401000,55503000,79394000
1636501044,65M,0.5,63111168.0,0.500627,200,21,4493000,20475000,24112000,26000000,35875000,42996000,53877000,55593000,82497000
1636501204,65M,0.5,63246336.0,0.488681,200,31,13502000,27969000,35884000,39705000,54300000,68994000,94694000,118776000,123579000
1636501805,64M,0.5,33894400.0,0.0,100,1,203000,209000,213000,270000,287000,300000,301000,307000,307000
1636501887,64M,0.5,40521728.0,0.103168,100,21,2652000,3077000,3205000,3479000,3885000,4406000,4872000,5091000,5091000
1636501927,64M,0.5,48713728.0,0.104761,100,31,8416000,9522000,10826000,11218000,13591000,14887000,19512000,21015000,21015000
1636501977,64M,0.5,53387264.0,0.205328,100,41,14232000,15094000,16683000,18099000,21097000,22896000,24088000,24904000,24904000
1636502057,64M,0.5,53501952.0,0.343457,100,51,32511000,35112000,37300000,40303000,60939000,67854000,68933000,69048000,69048000
1636502101,64M,0.5,56115200.0,0.376778,100,61,14333000,17977000,19692000,20277000,21884000,24670000,28334000,29142000,29142000
