scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,lat99
1636553178,2048000000,2.0,75722752.0,0.0037,10,1792000000,602877952.0,1636815228,1.0,214159
1636553188,2048000000,2.0,140255232.0,0.0037,20,3328000000,507670528.0,1636799616,1.5,310981
1636553199,2048000000,2.0,184238080.0,0.052663,30,1536000000,325783552.0,1636849767,3.5,480902
1636553210,2048000000,2.0,217681920.0,0.052663,40,2816000000,1616252928.0,1636830189,0.5,617177
1636553221,2048000000,2.0,305606656.0,0.120889,50,1024000000,712429568.0,1636836750,0.5,887802
1636553232,2048000000,2.0,356622336.0,0.120889,60,4096000000,625266688.0,1636747294,3.5,978334
1636553243,2048000000,2.0,412884992.0,0.249958,70,768000000,852271104.0,1636807956,1.5,1160482
1636553254,2048000000,2.0,417267712.0,0.249958,80,2048000000,1854062592.0,1636741632,4.0,1186484
1636553267,2048000000,2.0,421892096.0,0.399306,90,1024000000,1762451456.0,1636745785,4.0,2536014
1636553278,2048000000,2.0,421892096.0,0.240794,100,3072000000,432267264.0,1636858644,3.0,1450447
1636553476,1024000000,2.0,448122880.0,0.0057,10,1792000000,602877952.0,1636815228,1.0,186292
1636553487,1024000000,2.0,562274304.0,0.0,20,3328000000,507670528.0,1636799616,1.5,315117
1636553497,1024000000,2.0,606273536.0,0.016066,30,1536000000,325783552.0,1636849767,3.5,511298
1636553508,1024000000,2.0,639688704.0,0.016066,40,2816000000,1616252928.0,1636830189,0.5,743897
1636553519,1024000000,2.0,681287680.0,0.0,50,1024000000,712429568.0,1636836750,0.5,884678
1636553530,1024000000,2.0,778563584.0,0.105559,60,4096000000,625266688.0,1636747294,3.5,979685
1636553542,1024000000,2.0,834224128.0,0.33184,70,768000000,852271104.0,1636807956,1.5,1774665
1636553553,1024000000,2.0,838496256.0,0.246502,80,2048000000,1854062592.0,1636741632,4.0,1167691
1636553566,1024000000,2.0,842719232.0,0.347677,90,1024000000,1762451456.0,1636745785,4.0,2992814
1636553578,1024000000,2.0,429604864.0,0.347677,100,3072000000,432267264.0,1636858644,3.0,1734368
1636553589,1024000000,2.0,433360896.0,0.340037,110,512000000,438013952.0,1636797487,2.0,1648502
1636553601,1024000000,2.0,440102912.0,0.486821,120,512000000,444276736.0,1636797499,2.0,1802513
1636553613,1024000000,2.0,445677568.0,0.486821,130,512000000,445648896.0,1636759049,3.5,1910525
1636553629,1024000000,2.0,452784128.0,0.573533,140,1024000000,446738432.0,1636807685,1.5,6134457
