scenarioK_csi/antenna_00_features.csv.subcarrier_8_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_5_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_10_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_9_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_4_imaginary,scenarioK_csi/samples_base.csv.sample_key,scenarioK_csi/antenna_00_features.csv.subcarrier_11_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_67_real,scenarioK_csi/antenna_04_features.csv.subcarrier_70_real,scenarioK_csi/antenna_00_features.csv.subcarrier_1_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_16_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_73_real,scenarioK_csi/antenna_04_features.csv.subcarrier_77_real,scenarioK_csi/antenna_00_features.csv.subcarrier_3_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_7_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_21_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_94_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_74_real,scenarioK_csi/antenna_04_features.csv.subcarrier_76_real,scenarioK_csi/antenna_04_features.csv.subcarrier_63_real,scenarioK_csi/antenna_04_features.csv.subcarrier_75_real,scenarioK_csi/antenna_04_features.csv.subcarrier_95_imaginary,target_x,scenarioK_csi/antenna_04_features.csv.subcarrier_71_real,scenarioK_csi/antenna_00_features.csv.subcarrier_20_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_2_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_6_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_19_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_69_real
0.0,-0.01171875,-0.02734375,-0.00390625,0.01171875,user_0_sample_0,0.00390625,-0.15625,-0.16015625,0.03125,0.01171875,-0.1640625,-0.171875,0.0234375,0.0,0.02734375,0.203125,-0.16015625,-0.171875,-0.15625,-0.171875,0.19921875,-812,-0.171875,0.01171875,0.03125,-0.00390625,-0.01171875,-0.1484375
-0.01171875,0.0,-0.02734375,-0.02734375,0.01171875,user_0_sample_100,0.0,-0.13671875,-0.15625,0.03125,-0.00390625,-0.14453125,-0.1484375,0.01171875,-0.015625,0.015625,0.17578125,-0.1484375,-0.13671875,-0.12109375,-0.13671875,0.18359375,-812,-0.1640625,0.00390625,0.01171875,-0.01171875,-0.01171875,-0.1328125
-0.02734375,-0.015625,-0.03125,-0.04296875,-0.00390625,user_0_sample_101,-0.015625,-0.13671875,-0.14453125,0.04296875,0.0,-0.15625,-0.14453125,0.01171875,-0.01171875,0.01171875,0.18359375,-0.1484375,-0.1484375,-0.14453125,-0.14453125,0.17578125,-812,-0.16015625,-0.00390625,0.0234375,-0.03125,-0.01171875,-0.1328125
-0.00390625,-0.01171875,-0.0234375,-0.015625,0.00390625,user_0_sample_102,-0.00390625,-0.1484375,-0.14453125,0.03125,-0.01171875,-0.16015625,-0.1484375,0.00390625,-0.01171875,0.0234375,0.171875,-0.1328125,-0.14453125,-0.14453125,-0.1328125,0.17578125,-812,-0.16015625,0.0,0.02734375,-0.00390625,-0.01171875,-0.14453125
-0.015625,-0.015625,-0.02734375,-0.0234375,0.0,user_0_sample_103,-0.03125,-0.1640625,-0.15625,0.03125,-0.0234375,-0.1484375,-0.14453125,0.0,-0.00390625,0.015625,0.18359375,-0.15625,-0.16015625,-0.13671875,-0.1328125,0.17578125,-812,-0.15625,0.00390625,0.03125,-0.015625,0.0,-0.12890625
-0.0234375,-0.0234375,-0.01171875,-0.0234375,-0.00390625,user_0_sample_104,-0.01171875,-0.14453125,-0.15625,0.0234375,-0.0234375,-0.16015625,-0.1484375,0.02734375,-0.0234375,0.00390625,0.16015625,-0.1484375,-0.16015625,-0.1328125,-0.14453125,0.19140625,-812,-0.15625,0.00390625,0.015625,-0.015625,-0.00390625,-0.15625
-0.015625,0.0,-0.015625,-0.03125,0.01171875,user_0_sample_105,-0.015625,-0.13671875,-0.1484375,0.02734375,-0.01171875,-0.1484375,-0.15625,0.00390625,-0.01171875,0.0,0.171875,-0.1640625,-0.1484375,-0.14453125,-0.14453125,0.18359375,-812,-0.16015625,0.0,0.0234375,-0.00390625,0.00390625,-0.15625
-0.00390625,-0.00390625,-0.0234375,-0.02734375,0.00390625,user_0_sample_106,-0.015625,-0.1328125,-0.14453125,0.03125,-0.01171875,-0.1484375,-0.15625,0.01171875,-0.00390625,0.00390625,0.1875,-0.14453125,-0.1484375,-0.14453125,-0.13671875,0.19140625,-812,-0.17578125,0.0,0.01171875,-0.015625,0.01171875,-0.16015625
-0.02734375,0.0,-0.02734375,-0.01171875,0.0,user_0_sample_107,-0.015625,-0.14453125,-0.1640625,0.03125,-0.015625,-0.15625,-0.16015625,0.01171875,-0.015625,0.0,0.171875,-0.1484375,-0.13671875,-0.1328125,-0.1328125,0.17578125,-812,-0.16015625,0.0,0.01171875,-0.00390625,0.0,-0.14453125
-0.0234375,-0.00390625,-0.0390625,-0.01171875,0.01171875,user_0_sample_108,-0.00390625,-0.1484375,-0.14453125,0.02734375,-0.015625,-0.15625,-0.13671875,0.02734375,-0.02734375,0.00390625,0.171875,-0.16015625,-0.1484375,-0.12890625,-0.14453125,0.1875,-812,-0.1484375,0.0,0.015625,-0.015625,-0.015625,-0.13671875
-0.0234375,-0.00390625,-0.02734375,-0.0234375,0.015625,user_0_sample_109,-0.01171875,-0.12890625,-0.1484375,0.0390625,-0.00390625,-0.1484375,-0.1484375,0.01171875,-0.02734375,0.015625,0.17578125,-0.15625,-0.15625,-0.1328125,-0.1328125,0.15625,-812,-0.16015625,-0.00390625,0.02734375,-0.01171875,0.00390625,-0.14453125
0.00390625,0.01171875,0.0,-0.00390625,0.02734375,user_0_sample_10,0.00390625,-0.14453125,-0.13671875,0.03125,0.015625,-0.15625,-0.15625,0.02734375,0.01171875,0.02734375,0.15625,-0.1484375,-0.1484375,-0.1171875,-0.1328125,0.17578125,-812,-0.1484375,0.03125,0.02734375,0.01171875,0.015625,-0.1484375
-0.015625,-0.00390625,-0.03125,-0.015625,0.0,user_0_sample_110,-0.02734375,-0.12109375,-0.15625,0.03125,-0.00390625,-0.1328125,-0.1484375,0.015625,-0.015625,0.01171875,0.1875,-0.171875,-0.15625,-0.12109375,-0.1484375,0.15625,-812,-0.15625,0.0,0.01171875,0.0,0.0,-0.14453125
-0.015625,-0.015625,-0.02734375,-0.015625,0.01171875,user_0_sample_111,-0.00390625,-0.16015625,-0.16015625,0.03125,-0.015625,-0.16015625,-0.14453125,0.0234375,-0.0234375,0.00390625,0.18359375,-0.15625,-0.13671875,-0.12109375,-0.1328125,0.18359375,-812,-0.16015625,-0.00390625,0.015625,-0.01171875,-0.015625,-0.14453125
-0.015625,-0.01171875,-0.02734375,-0.0234375,0.015625,user_0_sample_112,-0.0234375,-0.14453125,-0.14453125,0.015625,-0.00390625,-0.1484375,-0.1484375,0.00390625,-0.0234375,0.0,0.1875,-0.1484375,-0.13671875,-0.13671875,-0.14453125,0.17578125,-812,-0.16015625,-0.00390625,0.0234375,-0.0234375,-0.01171875,-0.13671875
-0.01171875,0.0,-0.03125,-0.0234375,0.01171875,user_0_sample_113,-0.015625,-0.16015625,-0.16015625,0.02734375,-0.01171875,-0.13671875,-0.171875,0.01171875,-0.0234375,0.00390625,0.17578125,-0.15625,-0.1484375,-0.12890625,-0.13671875,0.1875,-812,-0.16015625,0.0,0.00390625,0.0,-0.00390625,-0.16015625
-0.03125,-0.015625,-0.0234375,-0.00390625,-0.00390625,user_0_sample_114,-0.01171875,-0.1484375,-0.1484375,0.03125,-0.015625,-0.15625,-0.1640625,0.01171875,-0.015625,0.00390625,0.17578125,-0.15625,-0.14453125,-0.13671875,-0.12109375,0.1875,-812,-0.171875,0.00390625,0.015625,-0.015625,-0.01171875,-0.14453125
-0.0234375,-0.015625,-0.0234375,-0.0234375,0.00390625,user_0_sample_115,0.0,-0.14453125,-0.16015625,0.03125,0.0,-0.16015625,-0.16015625,0.00390625,-0.00390625,0.0,0.18359375,-0.1484375,-0.15625,-0.12109375,-0.1484375,0.171875,-812,-0.13671875,-0.01171875,0.015625,-0.015625,-0.01171875,-0.1484375
-0.01171875,-0.01171875,-0.02734375,-0.02734375,0.00390625,user_0_sample_116,-0.02734375,-0.15625,-0.15625,0.015625,-0.01171875,-0.13671875,-0.13671875,0.00390625,-0.0234375,0.01171875,0.1875,-0.14453125,-0.15625,-0.14453125,-0.1484375,0.1875,-812,-0.16015625,0.01171875,0.01171875,-0.0234375,-0.00390625,-0.14453125
-0.01171875,-0.0234375,-0.0234375,-0.00390625,0.0234375,user_0_sample_117,-0.0234375,-0.13671875,-0.12890625,0.0234375,0.0,-0.1640625,-0.13671875,0.00390625,-0.0234375,0.00390625,0.1640625,-0.1328125,-0.14453125,-0.13671875,-0.13671875,0.171875,-812,-0.1484375,-0.01171875,0.0234375,-0.0234375,-0.00390625,-0.1328125
-0.01171875,-0.01171875,-0.02734375,-0.02734375,0.01171875,user_0_sample_118,-0.02734375,-0.1484375,-0.14453125,0.04296875,-0.00390625,-0.171875,-0.14453125,0.00390625,-0.01171875,0.015625,0.16015625,-0.16015625,-0.15625,-0.12109375,-0.13671875,0.171875,-812,-0.14453125,-0.00390625,0.01171875,0.0,-0.01171875,-0.13671875
-0.015625,-0.02734375,-0.02734375,-0.03125,0.00390625,user_0_sample_119,-0.0234375,-0.14453125,-0.1484375,0.04296875,-0.015625,-0.14453125,-0.14453125,0.00390625,-0.01171875,0.01171875,0.171875,-0.13671875,-0.1328125,-0.14453125,-0.1328125,0.171875,-812,-0.13671875,0.00390625,0.015625,-0.0234375,0.01171875,-0.13671875
