6907619/rabbitmq-performance.csv.cpu_usage,n,6907619/rabbitmq-performance.csv.lat99,6907619/rabbitmq-performance.csv.ram_limit,6907619/rabbitmq-performance.csv.min,6907619/rabbitmq-performance.csv.lat50,6907619/rabbitmq-performance.csv.lat95,6907619/rabbitmq-performance.csv.ram_usage,6907619/rabbitmq-performance.csv.cpu_limit,6907619/rabbitmq-performance.csv.time,6907619/rabbitmq-reduced.csv.n,6907619/rabbitmq-reduced.csv.cpu_limit,6907619/rabbitmq-reduced.csv.lat99,6907619/rabbitmq-performance.csv.lat75
0.0,50,27320110,4096M,26320337,26827055,27232122,340267008.0,0.5,1644249808,350,2.0,10987472,27044114
0.119848,50,28285666,4096M,27529409,27852542,28179642,340267008.0,0.5,1644249875,350,2.0,10987472,27969858
0.313978,50,28306874,4096M,27627984,27952510,28221301,340762624.0,0.5,1644249942,350,2.0,10987472,28068201
0.411185,50,27970359,4096M,27136062,27599033,27896257,340762624.0,0.5,1644250010,350,2.0,10987472,27756417
0.460797,50,27940557,4096M,27155208,27598737,27877329,342523904.0,0.5,1644250077,350,2.0,10987472,27748097
0.487091,100,42076031,4096M,41071440,41642639,42005492,449191936.0,0.5,1644250146,350,2.0,10987472,41834964
0.487969,100,42146621,4096M,41169405,41696760,42060809,440905728.0,0.5,1644250231,350,2.0,10987472,41889798
0.491109,150,46692085,4096M,45647151,46144477,46585977,562581504.0,0.5,1644250320,350,2.0,10987472,46382474
0.494942,150,46343792,4096M,45350350,45788108,46268688,572542976.0,0.5,1644250414,350,2.0,10987472,46071997
0.498831,200,48589043,4096M,47521911,48060859,48506312,723988480.0,0.5,1644250510,350,2.0,10987472,48293285
0.498577,200,48841345,4096M,47870199,48261705,48721850,723988480.0,0.5,1644250606,350,2.0,10987472,48416737
0.498639,200,48813036,4096M,47849571,48330708,48726125,695169024.0,0.5,1644250701,350,2.0,10987472,48554629
0.498581,200,48982778,4096M,47825310,48364288,48857128,693035008.0,0.5,1644250797,350,2.0,10987472,48622133
0.498542,200,48857671,4096M,47758874,48243541,48762757,670658560.0,0.5,1644250893,350,2.0,10987472,48387832
0.49849,250,50492601,4096M,49384994,49908344,50384220,705146880.0,0.5,1644250990,350,2.0,10987472,50142869
0.497905,250,50479527,4096M,49432955,49985426,50361848,766898176.0,0.5,1644251087,350,2.0,10987472,50217224
0.498324,250,50516784,4096M,49396763,49928006,50397294,747798528.0,0.5,1644251184,350,2.0,10987472,50206688
0.498312,250,50555011,4096M,49256654,49987047,50438487,882089984.0,0.5,1644251281,350,2.0,10987472,50191689
0.498569,250,50463974,4096M,49422155,49986519,50406095,882089984.0,0.5,1644251379,350,2.0,10987472,50210943
0.498252,300,51280928,4096M,50281982,50832286,51208808,793751552.0,0.5,1644251477,350,2.0,10987472,51041707
0.498436,300,51359507,4096M,50289683,50854727,51284894,969379840.0,0.5,1644251576,350,2.0,10987472,51086220
0.498332,350,52118501,4096M,50890442,51618297,52001810,1050451968.0,0.5,1644251677,350,2.0,10987472,51841353
0.497914,350,52346331,4096M,51037028,51656760,52138771,1050451968.0,0.5,1644251777,350,2.0,10987472,51842945
0.497847,400,52764204,4096M,51542860,52089882,52581110,1150717952.0,0.5,1644251879,350,2.0,10987472,52381394
0.497927,400,52517979,4096M,51406333,52069568,52427908,1150717952.0,0.5,1644251981,350,2.0,10987472,52238221
0.496987,450,52505888,4096M,51295101,51868622,52459658,1113362432.0,0.5,1644252084,350,2.0,10987472,52220283
0.497581,500,52862131,4096M,51601824,52291799,52736541,1216307200.0,0.5,1644252189,350,2.0,10987472,52526637
0.068332,50,28320602,3968M,27383535,28048275,28261499,339574784.0,0.5,1644252299,350,1.0,87559594,28145257
0.165129,50,27714261,3968M,26877084,27369896,27666534,338649088.0,0.5,1644252366,350,1.0,87559594,27521680
0.313021,50,27395892,3968M,26923441,27161001,27332342,331620352.0,0.5,1644252433,350,1.0,87559594,27228251
0.407159,50,27918053,3968M,27080807,27528370,27841264,336445440.0,0.5,1644252501,350,1.0,87559594,27673302
0.484435,50,27480500,3968M,27068270,27266530,27414129,330817536.0,0.5,1644252568,350,1.0,87559594,27325896
0.484602,100,41387269,3968M,40440736,40929039,41312628,454381568.0,0.5,1644252637,350,1.0,87559594,41140922
0.486631,100,42261065,3968M,41340541,41844228,42199786,451448832.0,0.5,1644252723,350,1.0,87559594,42041015
0.491054,150,46673788,3968M,45687418,46193492,46595107,573513728.0,0.5,1644252811,350,1.0,87559594,46436921
0.498467,150,46245723,3968M,45334270,45747715,46185275,573513728.0,0.5,1644252906,350,1.0,87559594,45987299
0.498573,200,48572437,3968M,47494226,48052556,48508864,659243008.0,0.5,1644253002,350,1.0,87559594,48293393
0.498758,200,48921447,3968M,47792234,48360622,48831795,659243008.0,0.5,1644253098,350,1.0,87559594,48593213
0.499077,250,50581604,3968M,49352787,50066969,50467214,813629440.0,0.5,1644253195,350,1.0,87559594,50305633
0.498754,250,50616203,3968M,49526006,50025224,50534991,813629440.0,0.5,1644253292,350,1.0,87559594,50270645
0.498512,250,50541605,3968M,49477378,50030130,50479484,750034944.0,0.5,1644253389,350,1.0,87559594,50227736
0.171166,50,27953002,4096M,27090468,27551963,27873374,409219072.0,0.5,1644253683,350,2.0,10987472,27708542
0.31737,50,27423882,4096M,26812459,27144237,27311650,409219072.0,0.5,1644253750,350,2.0,10987472,27216193
0.413835,50,27818953,4096M,26998759,27428111,27719051,330604544.0,0.5,1644253818,350,2.0,10987472,27581692
0.4636,50,28503799,4096M,27698300,28140563,28450608,340226048.0,0.5,1644253885,350,2.0,10987472,28272497
0.488697,100,42176298,4096M,41177589,41709050,42112346,453345280.0,0.5,1644253954,350,2.0,10987472,41915787
0.488288,100,42165307,4096M,41264122,41754653,42112542,470212608.0,0.5,1644254039,350,2.0,10987472,41967164
0.33988,50,256074,4096M,37312,153825,211542,650436608.0,0.5,1644254510,350,2.0,10987472,178607
0.421981,50,256017,4096M,52617,164386,216689,256253952.0,0.5,1644254572,350,2.0,10987472,190482
0.470983,50,245869,4096M,37968,146900,200123,247582720.0,0.5,1644254635,350,2.0,10987472,176287
0.458622,50,246030,4096M,38983,134320,196411,245317632.0,0.5,1644254698,350,2.0,10987472,164195
0.426023,100,17608140,4096M,16639542,17222745,17506451,453586944.0,0.5,1644254766,350,2.0,10987472,17333617
0.426618,100,17370584,4096M,16544309,17016872,17292601,467480576.0,0.5,1644254835,350,2.0,10987472,17113392
0.440343,100,17204947,4096M,16361356,16846095,17103166,468852736.0,0.5,1644254903,350,2.0,10987472,16939776
0.448078,100,16568009,4096M,15426064,16080897,16467698,464084992.0,0.5,1644254972,350,2.0,10987472,16231173
0.455343,100,16626925,4096M,15754900,16216631,16462550,464084992.0,0.5,1644255041,350,2.0,10987472,16322435
0.458713,150,30371072,4096M,29273511,29898625,30246261,493494272.0,0.5,1644255111,350,2.0,10987472,30066257
0.468431,150,30347908,4096M,29263533,29912915,30263052,557187072.0,0.5,1644255182,350,2.0,10987472,30096270
0.478001,150,30256448,4096M,29256739,29851647,30166721,552566784.0,0.5,1644255252,350,2.0,10987472,29985626
0.489545,150,30482206,4096M,29509345,30052886,30382382,531738624.0,0.5,1644255323,350,2.0,10987472,30203884
0.49844,150,30225230,4096M,28871072,29762190,30104148,581185536.0,0.5,1644255393,350,2.0,10987472,29888254
0.498291,200,36822753,4096M,35599226,36239541,36734694,573837312.0,0.5,1644255465,350,2.0,10987472,36442221
0.498558,200,36822106,4096M,35484484,36030221,36494697,617910272.0,0.5,1644255544,350,2.0,10987472,36188891
0.498431,200,37163594,4096M,35565837,36437425,37039684,617910272.0,0.5,1644255623,350,2.0,10987472,36716724
0.498303,200,36858232,4096M,35569007,36187735,36693138,670052352.0,0.5,1644255702,350,2.0,10987472,36429760
0.498393,200,36851549,4096M,35605373,36298304,36712496,646262784.0,0.5,1644255780,350,2.0,10987472,36480612
0.498396,250,41582916,4096M,40096357,40886208,41463644,675782656.0,0.5,1644255860,350,2.0,10987472,41130602
0.498433,250,41523808,4096M,40359742,41039423,41425473,766095360.0,0.5,1644255947,350,2.0,10987472,41224969
0.497918,250,41745245,4096M,39998190,40806463,41418271,645435392.0,0.5,1644256035,350,2.0,10987472,41060300
0.498048,250,41512539,4096M,40147311,40886800,41334722,730509312.0,0.5,1644256122,350,2.0,10987472,41090554
0.497986,300,44066451,4096M,42037672,43079897,43752875,805806080.0,0.5,1644256211,350,2.0,10987472,43411347
0.498059,300,43956378,4096M,42326198,43113221,43679573,879448064.0,0.5,1644256308,350,2.0,10987472,43325268
0.498356,300,43990622,4096M,42384970,43338857,43815844,877723648.0,0.5,1644256405,350,2.0,10987472,43579384
0.498086,300,44103959,4096M,42336920,43290482,43849724,877723648.0,0.5,1644256502,350,2.0,10987472,43508269
0.497672,300,43597251,4096M,42355402,43043796,43472111,810561536.0,0.5,1644256599,350,2.0,10987472,43234825
0.497897,350,46468711,4096M,44839283,45630859,46197940,810561536.0,0.5,1644256697,350,2.0,10987472,45893654
0.4978,350,46572788,4096M,45324743,46087475,46414186,1069551616.0,0.5,1644256796,350,2.0,10987472,46254266
0.497803,350,46499746,4096M,45130916,45960662,46399910,944447488.0,0.5,1644256896,350,2.0,10987472,46163723
0.497247,350,46437690,4096M,44900753,46024076,46352591,1130647552.0,0.5,1644256995,350,2.0,10987472,46183317
0.498005,400,47778078,4096M,45984207,46918329,47462251,1130217472.0,0.5,1644257096,350,2.0,10987472,47142196
0.497996,400,47623834,4096M,46372026,46925913,47374380,1130217472.0,0.5,1644257197,350,2.0,10987472,47088032
0.497816,400,47890674,4096M,46017147,46953341,47598933,1039216640.0,0.5,1644257298,350,2.0,10987472,47234337
0.497739,400,47745353,4096M,45982037,46824504,47528198,1105403904.0,0.5,1644257399,350,2.0,10987472,47148449
0.498084,400,47820850,4096M,45897312,46887267,47545894,1052033024.0,0.5,1644257502,350,2.0,10987472,47132003
0.497828,450,48855672,4096M,46691243,47801247,48533379,1117995008.0,0.5,1644257604,350,2.0,10987472,48065867
0.497753,450,48457128,4096M,46748150,47779873,48287589,1117995008.0,0.5,1644257708,350,2.0,10987472,48005317
0.497826,450,48172023,4096M,46931086,47582824,47995088,942235648.0,0.5,1644257810,350,2.0,10987472,47768124
0.497668,450,48926760,4096M,46856970,47553802,48454415,1085837312.0,0.5,1644257913,350,2.0,10987472,47871313
0.497946,450,48550811,4096M,46774568,47741432,48333326,940179456.0,0.5,1644258016,350,2.0,10987472,48038646
0.497785,500,48760435,4096M,46810240,48100258,48641680,1154760704.0,0.5,1644258122,350,2.0,10987472,48327220
0.317284,50,235637,3968M,38368,131651,195230,660779008.0,0.5,1644258362,350,1.0,87559594,163746
0.399158,50,188349,3968M,27976,116873,174686,241856512.0,0.5,1644258425,350,1.0,87559594,141704
0.459687,50,262729,3968M,35982,149560,213280,245903360.0,0.5,1644258487,350,1.0,87559594,178380
0.459433,50,184208,3968M,35759,121635,175187,245903360.0,0.5,1644258550,350,1.0,87559594,148856
0.424865,50,211849,3968M,44106,141860,189775,253788160.0,0.5,1644258613,350,1.0,87559594,166935
0.419814,100,16984651,3968M,15774724,16513864,16814111,454254592.0,0.5,1644258681,350,1.0,87559594,16628061
0.419783,100,16965153,3968M,16054021,16538775,16804068,465854464.0,0.5,1644258750,350,1.0,87559594,16658538
0.437926,100,17180536,3968M,16276984,16839098,17105865,465854464.0,0.5,1644258819,350,1.0,87559594,16941482
0.435972,100,16486301,3968M,15155676,16031918,16365044,449150976.0,0.5,1644258887,350,1.0,87559594,16178900
0.463927,100,16274027,3968M,14941439,15580400,16084167,462540800.0,0.5,1644258957,350,1.0,87559594,15691499
0.453837,150,30426681,3968M,29431184,30012266,30332724,560189440.0,0.5,1644259027,350,1.0,87559594,30156804
0.46426,150,30263898,3968M,29339034,29837744,30161641,560189440.0,0.5,1644259097,350,1.0,87559594,29984440
0.47683,150,30170109,3968M,29100795,29722062,30046058,591712256.0,0.5,1644259167,350,1.0,87559594,29867011
0.488022,150,30155832,3968M,29167149,29746834,30069797,570662912.0,0.5,1644259238,350,1.0,87559594,29890175
0.498041,150,30260361,3968M,29119497,29791376,30150437,547819520.0,0.5,1644259308,350,1.0,87559594,29939205
0.498134,200,36831449,3968M,35211830,36138453,36675194,631312384.0,0.5,1644259380,350,1.0,87559594,36416746
0.497974,200,36683600,3968M,35459586,36099675,36584690,631312384.0,0.5,1644259459,350,1.0,87559594,36296282
0.498433,200,36751525,3968M,35546570,36141023,36588539,702484480.0,0.5,1644259538,350,1.0,87559594,36317750
0.498242,200,36753323,3968M,35204858,36232729,36675784,703172608.0,0.5,1644259616,350,1.0,87559594,36455795
0.498052,200,36891679,3968M,35474384,36502418,36769893,703172608.0,0.5,1644259695,350,1.0,87559594,36617981
0.498274,250,41409476,3968M,39953069,40599762,41239206,684109824.0,0.5,1644259775,350,1.0,87559594,40840922
0.497997,250,41623180,3968M,40016652,40736945,41377685,731115520.0,0.5,1644259863,350,1.0,87559594,41038211
0.497745,250,41537993,3968M,39894686,40635238,41152596,731115520.0,0.5,1644259950,350,1.0,87559594,40892946
0.49782,250,41535562,3968M,39536645,40596566,41357749,731734016.0,0.5,1644260038,350,1.0,87559594,40841709
0.497846,250,41427764,3968M,40011337,40869655,41323518,805822464.0,0.5,1644260126,350,1.0,87559594,41090524
0.498004,300,43385924,3968M,42066450,42762169,43247846,844906496.0,0.5,1644260215,350,1.0,87559594,42967108
0.497824,300,43368967,3968M,41848862,42719483,43180875,844906496.0,0.5,1644260312,350,1.0,87559594,42894559
0.497851,300,43712187,3968M,42388517,42971196,43527966,846692352.0,0.5,1644260409,350,1.0,87559594,43172971
0.497903,300,43532007,3968M,41211136,42476385,43288024,846692352.0,0.5,1644260505,350,1.0,87559594,42744629
0.498152,300,43803696,3968M,42324970,42974065,43654318,840130560.0,0.5,1644260602,350,1.0,87559594,43234450
0.498303,350,46141929,3968M,44908107,45499435,45994898,904724480.0,0.5,1644260700,350,1.0,87559594,45712882
0.498406,400,47895301,3968M,46144851,47005926,47773091,809771008.0,0.5,1644260802,350,1.0,87559594,47368534
0.497989,400,47641356,3968M,46293670,47116068,47535831,894136320.0,0.5,1644260904,350,1.0,87559594,47370946
0.49794,400,47882948,3968M,45557132,46721515,47700805,1135255552.0,0.5,1644261005,350,1.0,87559594,47186700
0.497561,400,47702852,3968M,46084280,47103509,47508033,1071206400.0,0.5,1644261106,350,1.0,87559594,47303301
0.497835,400,47912807,3968M,45715148,46942051,47738093,1057832960.0,0.5,1644261207,350,1.0,87559594,47294745
