scenario,approach,algorithm,feature,source_table,importance
scenario1,BASE,XGBoost,cpu_usage,base,26373551.049797483
scenario1,BASE,XGBoost,ram_usage,base,19680883.266106497
scenario1,BASE,XGBoost,n,base,15382194.621697221
scenario1,BASE,XGBoost,cpu_limit,base,10721442.266657116
scenario1,BASE,XGBoost,ram_limit,base,1967456.2354880783
scenario1,BASE,RandomForest,cpu_usage,base,24059023.369774446
scenario1,BASE,RandomForest,ram_usage,base,19398147.85985874
scenario1,BASE,RandomForest,n,base,15856140.45686392
scenario1,BASE,RandomForest,cpu_limit,base,10003710.130341843
scenario1,BASE,RandomForest,ram_limit,base,2041426.1563914618
scenario1,Join_All_BFS,RandomForest,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,26468713.654851556
scenario1,Join_All_BFS,RandomForest,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,22163540.840935584
scenario1,Join_All_BFS,RandomForest,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,10824741.87802353
scenario1,Join_All_BFS,RandomForest,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,3824179.3983174027
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat75,golang-by-n.csv,225231.21534539835
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.cpu_limit,python-by-n.csv,202217.7278017532
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat50,golang-by-n.csv,37313.37417501658
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat80,golang-by-n.csv,29235.33936094381
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat95,golang-by-n.csv,28403.999643565156
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat98,golang-by-n.csv,27566.15340674501
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat100,golang-by-n.csv,26965.876144763643
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat66,golang-by-n.csv,23653.00373538658
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat99,golang-by-n.csv,17507.364766959286
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.cpu_usage,python-by-n.csv,11776.014666044153
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.ram_usage,python-by-n.csv,10444.406587659196
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.ram_usage,golang-by-n.csv,8989.78882797137
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.cpu_usage,golang-by-n.csv,8435.653905482031
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat99,python-by-n.csv,7242.8588319676
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat66,python-by-n.csv,6659.609550928324
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat100,python-by-n.csv,5828.52598585058
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat50,python-by-n.csv,5596.5490838006135
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat95,python-by-n.csv,5240.808367387019
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat80,python-by-n.csv,4906.296869809926
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.lat90,golang-by-n.csv,4776.909252401441
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat98,python-by-n.csv,4198.9561483867465
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat75,python-by-n.csv,3171.6456845965236
scenario1,Join_All_BFS,RandomForest,scenario1/python-by-n.csv.lat90,python-by-n.csv,2166.2319967789576
scenario1,Join_All_BFS,RandomForest,scenario1/golang-by-n.csv.cpu_limit,golang-by-n.csv,1252.0839362481609
scenario1,Join_All_BFS,XGBoost,scenario1/rabbitmq-s1.csv.ram_usage,rabbitmq-s1.csv,25533709.574203193
scenario1,Join_All_BFS,XGBoost,scenario1/rabbitmq-s1.csv.cpu_usage,rabbitmq-s1.csv,22710582.391192783
scenario1,Join_All_BFS,XGBoost,scenario1/rabbitmq-s1.csv.cpu_limit,rabbitmq-s1.csv,11821610.576100538
scenario1,Join_All_BFS,XGBoost,scenario1/rabbitmq-s1.csv.ram_limit,rabbitmq-s1.csv,3901500.887350481
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.ram_usage,golang-by-n.csv,3031592.907142495
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat50,golang-by-n.csv,691261.5095140716
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.cpu_limit,golang-by-n.csv,432943.9864257196
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat95,golang-by-n.csv,46916.23980018627
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat75,golang-by-n.csv,19454.332708987968
scenario1,Join_All_BFS,XGBoost,scenario1/golang-by-n.csv.lat90,golang-by-n.csv,9266.357793536223
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.lat50,python-by-n.csv,4722.115910205432
scenario1,Join_All_BFS,XGBoost,scenario1/python-by-n.csv.cpu_limit,python-by-n.csv,3944.719846089184
