scenario,approach,algorithm,accuracy,rmse,mae,n_features,train_time,total_time,feature_selection_time,rank,top_k,join_name
scenario1,BASE,XGBoost,0.9662151336669922,0.0,0.0,5,4.718902826309204,4.718902826309204,0.0,0,0,
scenario1,BASE,RandomForest,0.9648692011833191,0.0,0.0,5,4.718902826309204,4.718902826309204,0.0,0,0,
scenario1,Join_All_BFS,RandomForest,0.9460797309875488,0.0,0.0,28,11.354100942611694,12.234285831451416,0.0,0,0,
scenario1,Join_All_BFS,XGBoost,0.9479820132255554,0.0,0.0,28,11.354100942611694,12.234285831451416,0.0,0,0,
scenario1,Join_All_BFS_Filter,RandomForest,0.9462170004844666,0.0,0.0,14,8.718235969543457,9.614102602005005,0.015681743621826172,0,0,
scenario1,Join_All_BFS_Filter,XGBoost,0.9492213129997253,0.0,0.0,14,8.718235969543457,9.614102602005005,0.015681743621826172,0,0,
scenario1,AutoFeatPlus,RandomForest,0.9474196434020996,0.0,0.0,10,5.759781122207642,6.6986658573150635,0.058699846267700195,0,15,
scenario1,AutoFeatPlus,XGBoost,0.9454468488693237,0.0,0.0,10,5.759781122207642,6.6986658573150635,0.058699846267700195,0,15,
scenario1,AutoFeat,XGBoost,0.9662151336669922,0.0,0.0,5,4.24481201171875,4.413983345031738,0.16917133331298828,0,15,scenario1/rabbitmq-s1.csv
scenario1,AutoFeat,RandomForest,0.9648692011833191,0.0,0.0,5,4.24481201171875,4.413983345031738,0.16917133331298828,0,15,scenario1/rabbitmq-s1.csv
