scenario,approach,algorithm,feature,source_table,importance
scenario2c,BASE,XGBoost,cpu_limit,base,17321297.749630556
scenario2c,BASE,XGBoost,n,base,17260548.456137147
scenario2c,BASE,XGBoost,ram_limit,base,43934.115656095
scenario2c,BASE,XGBoost,time,base,0.0
scenario2c,BASE,RandomForest,cpu_limit,base,16601178.459066559
scenario2c,BASE,RandomForest,n,base,15122581.417611247
scenario2c,BASE,RandomForest,ram_limit,base,90773.70946366488
scenario2c,BASE,RandomForest,time,base,0.0
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,20628367.706244014
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-reduced.csv.cpu_limit,rabbitmq-reduced.csv,18751664.285215463
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-features.csv.cpu_usage,rabbitmq-features.csv,16551995.307220578
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-features.csv.ram_usage,rabbitmq-features.csv,9248833.868885245
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-features.csv.cpu_limit,rabbitmq-features.csv,3547665.111951963
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,1736459.3901393719
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,494589.81743825524
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-features.csv.ram_limit,rabbitmq-features.csv,340448.37487189955
scenario2c,Join_All_BFS,XGBoost,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-features.csv.cpu_usage,rabbitmq-features.csv,17737181.794040836
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,16984824.46096658
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-features.csv.ram_usage,rabbitmq-features.csv,13348319.858459014
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-reduced.csv.cpu_limit,rabbitmq-reduced.csv,10761289.16758975
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,2135405.58415405
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-features.csv.cpu_limit,rabbitmq-features.csv,1542365.365979604
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-features.csv.ram_limit,rabbitmq-features.csv,117392.41991778203
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,67744.93811624273
scenario2c,Join_All_BFS,RandomForest,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenario2c,Join_All_BFS_Filter,RandomForest,scenario2c/rabbitmq-features.csv.cpu_usage,rabbitmq-features.csv,26743236.736174263
scenario2c,Join_All_BFS_Filter,RandomForest,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,20117006.471320342
scenario2c,Join_All_BFS_Filter,RandomForest,scenario2c/rabbitmq-features.csv.ram_usage,rabbitmq-features.csv,15152631.8534769
scenario2c,Join_All_BFS_Filter,RandomForest,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,4495798.748354727
scenario2c,Join_All_BFS_Filter,RandomForest,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenario2c,Join_All_BFS_Filter,XGBoost,scenario2c/rabbitmq-features.csv.cpu_usage,rabbitmq-features.csv,26414094.46174991
scenario2c,Join_All_BFS_Filter,XGBoost,scenario2c/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,26221015.923863947
scenario2c,Join_All_BFS_Filter,XGBoost,scenario2c/rabbitmq-features.csv.ram_usage,rabbitmq-features.csv,14319180.15950801
scenario2c,Join_All_BFS_Filter,XGBoost,scenario2c/rabbitmq-features.csv.n,rabbitmq-features.csv,10967192.807331847
scenario2c,Join_All_BFS_Filter,XGBoost,scenario2c/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
