scenario,approach,algorithm,accuracy,rmse,mae,n_features,train_time,total_time,feature_selection_time,rank,top_k,join_name
scenario2c,BASE,XGBoost,0.5395169258117676,0.0,0.0,0,4.076592206954956,4.076592206954956,0.0,0.0,0,
scenario2c,BASE,RandomForest,0.4559941291809082,0.0,0.0,0,4.076592206954956,4.076592206954956,0.0,0.0,0,
scenario2c,Join_All_BFS,XGBoost,0.945512592792511,0.0,0.0,0,5.2570860385894775,5.741708755493164,0.0,0.0,0,
scenario2c,Join_All_BFS,RandomForest,0.9377661943435669,0.0,0.0,0,5.2570860385894775,5.741708755493164,0.0,0.0,0,
scenario2c,Join_All_BFS_Filter,RandomForest,0.9510290026664734,0.0,0.0,0,4.050488710403442,4.543104648590088,0.007993221282958984,0.0,0,
scenario2c,Join_All_BFS_Filter,XGBoost,0.9472091197967529,0.0,0.0,0,4.050488710403442,4.543104648590088,0.007993221282958984,0.0,0,
scenario2c,AutoFeatPlus,XGBoost,0.9518053531646729,0.0,0.0,0,4.910576105117798,5.431888818740845,0.03668999671936035,0.0,15,
scenario2c,AutoFeatPlus,RandomForest,0.9371258020401001,0.0,0.0,0,4.910576105117798,5.431888818740845,0.03668999671936035,0.0,15,
scenario2c,AutoFeat,XGBoost,0.9417154788970947,0.0,0.0,8,5.3620829582214355,5.666553974151611,0.3044710159301758,1.3805198124621616,15,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv
scenario2c,AutoFeat,RandomForest,0.903030276298523,0.0,0.0,8,5.3620829582214355,5.666553974151611,0.3044710159301758,1.3805198124621616,15,scenario2c/rabbitmq-reduced.csv--scenario2c/rabbitmq-reduced.csv|time|time|scenario2c/rabbitmq-features.csv
