algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,rmse,mae,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank,top_k,n_features,privacy_risk_score,n_sensitive_features,sensitive_features,blocked_features,join_name,split_mode,test_groups
XGBoost,scenarioA_lat95,BASE,scenarioA_lat95,0.0,5.237709045410156,0.0,0,0.9550706148147583,0.0,0.0,5.237709045410156,"{'cpu_usage': 21612139.846604124, 'ram_usage': 19904434.581945144, 'n': 19428251.214800693, 'cpu_limit': 6399332.153386295, 'ram_limit': 275190.8067890996, 'time': 0.0}","['time', 'cpu_limit', 'ram_usage', 'cpu_usage', 'n', 'ram_limit']",0.0,0.0,0,0,0,0.0,0,[],[],,temporal,
RandomForest,scenarioA_lat95,BASE,scenarioA_lat95,0.0,5.237709045410156,0.0,0,0.9457009434700012,0.0,0.0,5.237709045410156,"{'cpu_usage': 22029113.743106835, 'n': 18560277.00652808, 'ram_usage': 13712029.830180515, 'cpu_limit': 6435867.024406062, 'ram_limit': 392863.40294028225, 'time': 0.0}","['time', 'cpu_limit', 'ram_usage', 'cpu_usage', 'n', 'ram_limit']",0.0,0.0,0,0,0,0.0,0,[],[],,temporal,
XGBoost,scenarioA_lat95/rabbitmq-reduced.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/amf-performance.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/golang-web-server-performance.csv--scenarioA_lat95/golang-web-server-performance.csv|cpu_limit|cpu_limit|scenarioA_lat95/python-web-server-performance.csv,Join_All_BFS,scenarioA_lat95,0.7583751678466797,7.708633184432983,0.0,0,0.9607030749320984,0.0,0.0,6.950258016586304,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 24445433.624546938, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 20196424.02153475, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 18629625.63429689, 'scenarioA_lat95/golang-web-server-performance.csv.cpu_usage': 1268074.6115344693, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit': 460606.8375173669, 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit': 451378.2713565966, 'scenarioA_lat95/amf-performance.csv.time': 424622.09251078183, 'scenarioA_lat95/golang-web-server-performance.csv.c': 225223.09525205326, 'scenarioA_lat95/python-web-server-performance.csv.time': 165551.3340662472, 'scenarioA_lat95/python-web-server-performance.csv.ram_limit': 56608.8033410022, 'scenarioA_lat95/amf-performance.csv.n': 24020.749459547176, 'scenarioA_lat95/python-web-server-performance.csv.ram_usage': 17398.191852723994, 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage': 0.0, 'scenarioA_lat95/python-web-server-performance.csv.n': 0.0, 'scenarioA_lat95/python-web-server-performance.csv.c': 0.0, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 0.0, 'scenarioA_lat95/golang-web-server-performance.csv.n': -3065.137993902713, 'scenarioA_lat95/amf-performance.csv.ram_usage': -5226.906480999105, 'scenarioA_lat95/golang-web-server-performance.csv.time': -11832.499343171901, 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage': -57304.30700008459, 'scenarioA_lat95/amf-performance.csv.ram_limit': -80274.0903157726, 'scenarioA_lat95/amf-performance.csv.cpu_usage': -177402.75678325593}","['scenarioA_lat95/rabbitmq-reduced.csv.time', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/amf-performance.csv.time', 'scenarioA_lat95/amf-performance.csv.ram_limit', 'scenarioA_lat95/amf-performance.csv.ram_usage', 'scenarioA_lat95/amf-performance.csv.cpu_usage', 'scenarioA_lat95/amf-performance.csv.n', 'scenarioA_lat95/golang-web-server-performance.csv.time', 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage', 'scenarioA_lat95/golang-web-server-performance.csv.cpu_usage', 'scenarioA_lat95/golang-web-server-performance.csv.n', 'scenarioA_lat95/golang-web-server-performance.csv.c', 'scenarioA_lat95/python-web-server-performance.csv.time', 'scenarioA_lat95/python-web-server-performance.csv.ram_usage', 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage', 'scenarioA_lat95/python-web-server-performance.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.c', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit', 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit', 'scenarioA_lat95/python-web-server-performance.csv.ram_limit']",0.0,0.0,0,0,0,0.0,0,[],[],,temporal,
RandomForest,scenarioA_lat95/rabbitmq-reduced.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/amf-performance.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/golang-web-server-performance.csv--scenarioA_lat95/golang-web-server-performance.csv|cpu_limit|cpu_limit|scenarioA_lat95/python-web-server-performance.csv,Join_All_BFS,scenarioA_lat95,0.7583751678466797,7.708633184432983,0.0,0,0.9316904544830322,0.0,0.0,6.950258016586304,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 22625567.385395695, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 18593506.132014412, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 13047783.67363819, 'scenarioA_lat95/python-web-server-performance.csv.time': 945272.7937160674, 'scenarioA_lat95/golang-web-server-performance.csv.cpu_usage': 893124.0851635482, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit': 277032.1029251289, 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage': 185666.24459424242, 'scenarioA_lat95/golang-web-server-performance.csv.n': 9352.470620990172, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 0.0, 'scenarioA_lat95/python-web-server-performance.csv.c': -5911.212791173532, 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage': -26564.124854891747, 'scenarioA_lat95/python-web-server-performance.csv.n': -31074.49891374223, 'scenarioA_lat95/python-web-server-performance.csv.ram_usage': -36146.95152947642, 'scenarioA_lat95/golang-web-server-performance.csv.c': -54718.313600092384, 'scenarioA_lat95/golang-web-server-performance.csv.time': -63209.70809211694, 'scenarioA_lat95/amf-performance.csv.n': -65533.96270772554, 'scenarioA_lat95/amf-performance.csv.cpu_usage': -67852.19795244522, 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit': -74123.61775219328, 'scenarioA_lat95/python-web-server-performance.csv.ram_limit': -79489.82773155309, 'scenarioA_lat95/amf-performance.csv.ram_usage': -127197.67241780348, 'scenarioA_lat95/amf-performance.csv.time': -205881.90192703827, 'scenarioA_lat95/amf-performance.csv.ram_limit': -339348.1296589017}","['scenarioA_lat95/rabbitmq-reduced.csv.time', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/amf-performance.csv.time', 'scenarioA_lat95/amf-performance.csv.ram_limit', 'scenarioA_lat95/amf-performance.csv.ram_usage', 'scenarioA_lat95/amf-performance.csv.cpu_usage', 'scenarioA_lat95/amf-performance.csv.n', 'scenarioA_lat95/golang-web-server-performance.csv.time', 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage', 'scenarioA_lat95/golang-web-server-performance.csv.cpu_usage', 'scenarioA_lat95/golang-web-server-performance.csv.n', 'scenarioA_lat95/golang-web-server-performance.csv.c', 'scenarioA_lat95/python-web-server-performance.csv.time', 'scenarioA_lat95/python-web-server-performance.csv.ram_usage', 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage', 'scenarioA_lat95/python-web-server-performance.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.c', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit', 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit', 'scenarioA_lat95/python-web-server-performance.csv.ram_limit']",0.0,0.0,0,0,0,0.0,0,[],[],,temporal,
XGBoost,scenarioA_lat95/rabbitmq-reduced.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/amf-performance.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/golang-web-server-performance.csv--scenarioA_lat95/golang-web-server-performance.csv|cpu_limit|cpu_limit|scenarioA_lat95/python-web-server-performance.csv,Join_All_BFS_Filter,scenarioA_lat95,0.7583751678466797,6.558434963226318,0.014225959777832031,0,0.9604058861732483,0.0,0.0,5.785833835601807,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 23926310.08301865, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 20230601.247799717, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 17936278.15775026, 'scenarioA_lat95/python-web-server-performance.csv.ram_limit': 2298584.0705013634, 'scenarioA_lat95/amf-performance.csv.time': 773076.0272144364, 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit': 706597.6992927126, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit': 487600.06206538004, 'scenarioA_lat95/amf-performance.csv.ram_usage': 280468.3216853302, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 0.0, 'scenarioA_lat95/amf-performance.csv.cpu_usage': -10709.30087785963, 'scenarioA_lat95/amf-performance.csv.ram_limit': -25893.782244023496}","['scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.ram_limit', 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit', 'scenarioA_lat95/rabbitmq-reduced.csv.time', 'scenarioA_lat95/amf-performance.csv.time', 'scenarioA_lat95/amf-performance.csv.ram_limit', 'scenarioA_lat95/amf-performance.csv.ram_usage', 'scenarioA_lat95/amf-performance.csv.cpu_usage']",0.0,0.0,0,0,0,0.0,0,[],[],,temporal,
RandomForest,scenarioA_lat95/rabbitmq-reduced.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/amf-performance.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/golang-web-server-performance.csv--scenarioA_lat95/golang-web-server-performance.csv|cpu_limit|cpu_limit|scenarioA_lat95/python-web-server-performance.csv,Join_All_BFS_Filter,scenarioA_lat95,0.7583751678466797,6.558434963226318,0.014225959777832031,0,0.9391369819641113,0.0,0.0,5.785833835601807,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 21928075.555240415, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 18603696.648126785, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 13421244.469747012, 'scenarioA_lat95/python-web-server-performance.csv.ram_limit': 4161891.5654118285, 'scenarioA_lat95/amf-performance.csv.time': 757110.3308097705, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit': 375058.7112488683, 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit': 334675.8883156553, 'scenarioA_lat95/amf-performance.csv.ram_usage': 92157.19904821552, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 0.0, 'scenarioA_lat95/amf-performance.csv.cpu_usage': -79014.07427519541, 'scenarioA_lat95/amf-performance.csv.ram_limit': -132443.89397021028}","['scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.ram_limit', 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit', 'scenarioA_lat95/rabbitmq-reduced.csv.time', 'scenarioA_lat95/amf-performance.csv.time', 'scenarioA_lat95/amf-performance.csv.ram_limit', 'scenarioA_lat95/amf-performance.csv.ram_usage', 'scenarioA_lat95/amf-performance.csv.cpu_usage']",0.0,0.0,0,0,0,0.0,0,[],[],,temporal,
XGBoost,scenarioA_lat95/rabbitmq-reduced.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/amf-performance.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/golang-web-server-performance.csv--scenarioA_lat95/golang-web-server-performance.csv|cpu_limit|cpu_limit|scenarioA_lat95/python-web-server-performance.csv,AutoFeatPlus,scenarioA_lat95,0.7583751678466797,6.76253604888916,0.06041598320007324,0,0.9047796726226807,0.0,0.0,5.943744897842407,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 19915067.14575612, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 11881992.644389186, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 9156419.623919616, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 8859949.092817472, 'scenarioA_lat95/python-web-server-performance.csv.ram_limit': 2056112.4117117436, 'scenarioA_lat95/python-web-server-performance.csv.n': 1938362.0267827387, 'scenarioA_lat95/amf-performance.csv.n': 854224.161137262, 'scenarioA_lat95/golang-web-server-performance.csv.c': 470658.8719960738, 'scenarioA_lat95/amf-performance.csv.time': 0.0, 'scenarioA_lat95/amf-performance.csv.ram_limit': 0.0, 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage': 0.0, 'scenarioA_lat95/python-web-server-performance.csv.c': 0.0, 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage': 0.0, 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit': 0.0, 'scenarioA_lat95/amf-performance.csv.cpu_usage': -7163.598316043242, 'scenarioA_lat95/python-web-server-performance.csv.ram_usage': -55032.79663482979}","['scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.ram_limit', 'scenarioA_lat95/amf-performance.csv.n', 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit', 'scenarioA_lat95/golang-web-server-performance.csv.c', 'scenarioA_lat95/amf-performance.csv.time', 'scenarioA_lat95/amf-performance.csv.cpu_usage', 'scenarioA_lat95/amf-performance.csv.ram_limit', 'scenarioA_lat95/python-web-server-performance.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.ram_usage', 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage', 'scenarioA_lat95/python-web-server-performance.csv.c', 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage']",0.0,0.0,0,15,0,0.0,0,[],[],,temporal,
RandomForest,scenarioA_lat95/rabbitmq-reduced.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/amf-performance.csv--scenarioA_lat95/rabbitmq-reduced.csv|cpu_limit|cpu_limit|scenarioA_lat95/golang-web-server-performance.csv--scenarioA_lat95/golang-web-server-performance.csv|cpu_limit|cpu_limit|scenarioA_lat95/python-web-server-performance.csv,AutoFeatPlus,scenarioA_lat95,0.7583751678466797,6.76253604888916,0.06041598320007324,0,0.8298748135566711,0.0,0.0,5.943744897842407,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 19691424.910904426, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 9385127.668901142, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 8108904.66974218, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 6057070.813014241, 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit': 3102994.51644488, 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage': 230475.14293711298, 'scenarioA_lat95/amf-performance.csv.time': 194618.16776222625, 'scenarioA_lat95/python-web-server-performance.csv.ram_limit': 131236.7289514087, 'scenarioA_lat95/python-web-server-performance.csv.n': 86235.25966606774, 'scenarioA_lat95/python-web-server-performance.csv.ram_usage': 75685.02541685253, 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage': 66789.15167414249, 'scenarioA_lat95/python-web-server-performance.csv.c': 30732.225022165105, 'scenarioA_lat95/golang-web-server-performance.csv.c': 0.0, 'scenarioA_lat95/amf-performance.csv.cpu_usage': -36778.012861155716, 'scenarioA_lat95/amf-performance.csv.n': -45744.106031972915, 'scenarioA_lat95/amf-performance.csv.ram_limit': -140938.79789909348}","['scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.ram_limit', 'scenarioA_lat95/amf-performance.csv.n', 'scenarioA_lat95/golang-web-server-performance.csv.ram_limit', 'scenarioA_lat95/golang-web-server-performance.csv.c', 'scenarioA_lat95/amf-performance.csv.time', 'scenarioA_lat95/amf-performance.csv.cpu_usage', 'scenarioA_lat95/amf-performance.csv.ram_limit', 'scenarioA_lat95/python-web-server-performance.csv.n', 'scenarioA_lat95/python-web-server-performance.csv.ram_usage', 'scenarioA_lat95/python-web-server-performance.csv.cpu_usage', 'scenarioA_lat95/python-web-server-performance.csv.c', 'scenarioA_lat95/golang-web-server-performance.csv.ram_usage']",0.0,0.0,0,15,0,0.0,0,[],[],,temporal,
XGBoost,['scenarioA_lat95/rabbitmq-reduced.csv'],AutoFeat,scenarioA_lat95,0.0,5.573976278305054,0.2698702812194824,0,0.9795852303504944,0.0,0.0,5.304105997085571,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 23753843.054260883, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 16941375.640494213, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 16911306.633378074, 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_limit': 9566086.680241926, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 8474605.73651894, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit': 1052637.620432822}","['scenarioA_lat95/rabbitmq-reduced.csv.time', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_limit', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit']",0.65,0.0,0,15,6,0.0,0,[],[],scenarioA_lat95/rabbitmq-reduced.csv,random,
RandomForest,['scenarioA_lat95/rabbitmq-reduced.csv'],AutoFeat,scenarioA_lat95,0.0,5.573976278305054,0.2698702812194824,0,0.976895809173584,0.0,0.0,5.304105997085571,"{'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage': 24181582.13024147, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage': 18114527.526006244, 'scenarioA_lat95/rabbitmq-reduced.csv.n': 16420926.409400254, 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_limit': 12139486.056768332, 'scenarioA_lat95/rabbitmq-reduced.csv.time': 8170820.127508442, 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit': 928854.5538535032}","['scenarioA_lat95/rabbitmq-reduced.csv.time', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_limit', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage', 'scenarioA_lat95/rabbitmq-reduced.csv.n', 'scenarioA_lat95/rabbitmq-reduced.csv.ram_limit']",0.65,0.0,0,15,6,0.0,0,[],[],scenarioA_lat95/rabbitmq-reduced.csv,random,
