scenario,approach,algorithm,feature,source_table,importance
scenarioA_lat95,BASE,XGBoost,cpu_usage,base,21612139.846604124
scenarioA_lat95,BASE,XGBoost,ram_usage,base,19904434.581945144
scenarioA_lat95,BASE,XGBoost,n,base,19428251.214800693
scenarioA_lat95,BASE,XGBoost,cpu_limit,base,6399332.153386295
scenarioA_lat95,BASE,XGBoost,ram_limit,base,275190.8067890996
scenarioA_lat95,BASE,XGBoost,time,base,0.0
scenarioA_lat95,BASE,RandomForest,cpu_usage,base,22094966.599122625
scenarioA_lat95,BASE,RandomForest,n,base,18688452.779742755
scenarioA_lat95,BASE,RandomForest,ram_usage,base,13190006.246616516
scenarioA_lat95,BASE,RandomForest,cpu_limit,base,6161429.515838023
scenarioA_lat95,BASE,RandomForest,ram_limit,base,428874.0578500951
scenarioA_lat95,BASE,RandomForest,time,base,0.0
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage,rabbitmq-reduced.csv,24445433.624546938
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,20196424.02153475
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.ram_usage,rabbitmq-reduced.csv,18629625.63429689
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.cpu_usage,golang-web-server-performance.csv,1268074.6115344693
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,460606.8375173669
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,451378.2713565966
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/amf-performance.csv.time,amf-performance.csv,424622.09251078183
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.c,golang-web-server-performance.csv,225223.09525205326
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/python-web-server-performance.csv.time,python-web-server-performance.csv,165551.3340662472
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/python-web-server-performance.csv.ram_limit,python-web-server-performance.csv,56608.8033410022
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/amf-performance.csv.n,amf-performance.csv,24020.749459547176
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/python-web-server-performance.csv.ram_usage,python-web-server-performance.csv,17398.191852723994
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/python-web-server-performance.csv.cpu_usage,python-web-server-performance.csv,0.0
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/python-web-server-performance.csv.n,python-web-server-performance.csv,0.0
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/python-web-server-performance.csv.c,python-web-server-performance.csv,0.0
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.n,golang-web-server-performance.csv,-3065.137993902713
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/amf-performance.csv.ram_usage,amf-performance.csv,-5226.906480999105
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.time,golang-web-server-performance.csv,-11832.499343171901
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.ram_usage,golang-web-server-performance.csv,-57304.30700008459
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/amf-performance.csv.ram_limit,amf-performance.csv,-80274.0903157726
scenarioA_lat95,Join_All_BFS,XGBoost,scenarioA_lat95/amf-performance.csv.cpu_usage,amf-performance.csv,-177402.75678325593
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage,rabbitmq-reduced.csv,22746367.64125549
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,18867293.34538969
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.ram_usage,rabbitmq-reduced.csv,12560992.980310407
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/golang-web-server-performance.csv.cpu_usage,golang-web-server-performance.csv,950111.4690952823
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/python-web-server-performance.csv.time,python-web-server-performance.csv,844066.9871006816
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,299301.73520279565
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/golang-web-server-performance.csv.ram_usage,golang-web-server-performance.csv,252800.24100360423
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/golang-web-server-performance.csv.n,golang-web-server-performance.csv,5686.2897328119725
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/python-web-server-performance.csv.c,python-web-server-performance.csv,-10858.423548853398
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/python-web-server-performance.csv.ram_limit,python-web-server-performance.csv,-36017.87161124572
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/amf-performance.csv.cpu_usage,amf-performance.csv,-38352.3021042373
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/python-web-server-performance.csv.ram_usage,python-web-server-performance.csv,-38837.23963460811
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/golang-web-server-performance.csv.time,golang-web-server-performance.csv,-45286.05336420424
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/python-web-server-performance.csv.cpu_usage,python-web-server-performance.csv,-50309.62794541121
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/amf-performance.csv.n,amf-performance.csv,-50649.31529640779
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/python-web-server-performance.csv.n,python-web-server-performance.csv,-52179.827708252145
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/golang-web-server-performance.csv.c,golang-web-server-performance.csv,-54324.96025211364
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,-71779.800368049
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/amf-performance.csv.ram_usage,amf-performance.csv,-130616.15417851097
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/amf-performance.csv.time,amf-performance.csv,-195656.8654214345
scenarioA_lat95,Join_All_BFS,RandomForest,scenarioA_lat95/amf-performance.csv.ram_limit,amf-performance.csv,-306897.6258767109
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage,rabbitmq-reduced.csv,23926310.08301865
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,20230601.247799717
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.ram_usage,rabbitmq-reduced.csv,17936278.15775026
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/python-web-server-performance.csv.ram_limit,python-web-server-performance.csv,2298584.0705013634
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/amf-performance.csv.time,amf-performance.csv,773076.0272144364
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,706597.6992927126
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.ram_limit,rabbitmq-reduced.csv,487600.06206538004
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/amf-performance.csv.ram_usage,amf-performance.csv,280468.3216853302
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/rabbitmq-reduced.csv.time,rabbitmq-reduced.csv,0.0
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/amf-performance.csv.cpu_usage,amf-performance.csv,-10709.30087785963
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,scenarioA_lat95/amf-performance.csv.ram_limit,amf-performance.csv,-25893.782244023496
scenarioA_lat95,Join_All_BFS_Filter,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.cpu_usage,rabbitmq-reduced.csv,22052335.98227028
scenarioA_lat95,Join_All_BFS_Filter,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.n,rabbitmq-reduced.csv,18811847.792224668
scenarioA_lat95,Join_All_BFS_Filter,RandomForest,scenarioA_lat95/rabbitmq-reduced.csv.ram_usage,rabbitmq-reduced.csv,13026210.750447752
