scenario,approach,algorithm,accuracy,rmse,mae,n_features,train_time,total_time,feature_selection_time,rank,top_k,join_name
scenarioA_lat95,BASE,XGBoost,0.9550706148147583,0.0,0.0,0,5.237709045410156,5.237709045410156,0.0,0,0,
scenarioA_lat95,BASE,RandomForest,0.9457009434700012,0.0,0.0,0,5.237709045410156,5.237709045410156,0.0,0,0,
scenarioA_lat95,Join_All_BFS,XGBoost,0.9607030749320984,0.0,0.0,0,6.950258016586304,7.708633184432983,0.0,0,0,
scenarioA_lat95,Join_All_BFS,RandomForest,0.9316904544830322,0.0,0.0,0,6.950258016586304,7.708633184432983,0.0,0,0,
scenarioA_lat95,Join_All_BFS_Filter,XGBoost,0.9604058861732483,0.0,0.0,0,5.785833835601807,6.558434963226318,0.014225959777832031,0,0,
scenarioA_lat95,Join_All_BFS_Filter,RandomForest,0.9391369819641113,0.0,0.0,0,5.785833835601807,6.558434963226318,0.014225959777832031,0,0,
scenarioA_lat95,AutoFeatPlus,XGBoost,0.9047796726226807,0.0,0.0,0,5.943744897842407,6.76253604888916,0.06041598320007324,0,15,
scenarioA_lat95,AutoFeatPlus,RandomForest,0.8298748135566711,0.0,0.0,0,5.943744897842407,6.76253604888916,0.06041598320007324,0,15,
scenarioA_lat95,AutoFeat,XGBoost,0.9795852303504944,0.0,0.0,6,5.304105997085571,5.573976278305054,0.2698702812194824,0,15,scenarioA_lat95/rabbitmq-reduced.csv
scenarioA_lat95,AutoFeat,RandomForest,0.976895809173584,0.0,0.0,6,5.304105997085571,5.573976278305054,0.2698702812194824,0,15,scenarioA_lat95/rabbitmq-reduced.csv
