scenario,approach,algorithm,feature,source_table,importance
scenarioB_amf_seg01,BASE,RandomForest,n,base,22759157.52774844
scenarioB_amf_seg01,BASE,RandomForest,cpu_limit,base,6219274.458848558
scenarioB_amf_seg01,BASE,RandomForest,ram_usage,base,2062539.037543097
scenarioB_amf_seg01,BASE,RandomForest,cpu_usage,base,94024.24607565292
scenarioB_amf_seg01,BASE,RandomForest,ram_limit,base,27859.00332201477
scenarioB_amf_seg01,BASE,RandomForest,time,base,0.0
scenarioB_amf_seg01,BASE,XGBoost,n,base,21081690.030997552
scenarioB_amf_seg01,BASE,XGBoost,ram_usage,base,5972657.991537706
scenarioB_amf_seg01,BASE,XGBoost,cpu_limit,base,5665850.695005944
scenarioB_amf_seg01,BASE,XGBoost,ram_limit,base,24355.886542999
scenarioB_amf_seg01,BASE,XGBoost,cpu_usage,base,8583.456278001704
scenarioB_amf_seg01,BASE,XGBoost,time,base,0.0
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg08_20211117_055508.csv.cpu_usage,amf-performance_seg08_20211117_055508.csv,17431913.84365229
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,amf-seg01-reduced.csv,7736895.69364508
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,amf-seg01-reduced.csv,6264084.67272857
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg04_20211115_092253.csv.cpu_usage,amf-performance_seg04_20211115_092253.csv,864078.3765994258
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg07_20211116_210722.csv.cpu_usage,amf-performance_seg07_20211116_210722.csv,448778.5237568688
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg04_20211115_092253.csv.time,amf-performance_seg04_20211115_092253.csv,109177.06644684487
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,amf-performance_seg02_20211112_151228.csv,109082.89820920098
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg06_20211116_161428.csv.ram_usage,amf-performance_seg06_20211116_161428.csv,71631.40670260452
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg03_20211114_072356.csv.ram_usage,amf-performance_seg03_20211114_072356.csv,63053.8824397577
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg03_20211114_072356.csv.cpu_usage,amf-performance_seg03_20211114_072356.csv,57014.52134595644
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_usage,amf-performance_seg02_20211112_151228.csv,32618.887937554344
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,amf-seg01-reduced.csv,27784.068003614993
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg03_20211114_072356.csv.ram_limit,amf-performance_seg03_20211114_072356.csv,8819.145772587135
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg05_20211115_145002.csv.ram_limit,amf-performance_seg05_20211115_145002.csv,6973.789036749117
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg05_20211115_145002.csv.cpu_usage,amf-performance_seg05_20211115_145002.csv,4264.304291310907
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg07_20211116_210722.csv.time,amf-performance_seg07_20211116_210722.csv,1719.3371137645095
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg05_20211115_145002.csv.time,amf-performance_seg05_20211115_145002.csv,1052.1436846563593
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg03_20211114_072356.csv.cpu_limit,amf-performance_seg03_20211114_072356.csv,1039.239912830852
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg06_20211116_161428.csv.time,amf-performance_seg06_20211116_161428.csv,304.3314359748736
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg07_20211116_210722.csv.ram_usage,amf-performance_seg07_20211116_210722.csv,61.055900153145195
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg05_20211115_145002.csv.ram_usage,amf-performance_seg05_20211115_145002.csv,33.40944166462869
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg04_20211115_092253.csv.ram_usage,amf-performance_seg04_20211115_092253.csv,0.0
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg04_20211115_092253.csv.ram_limit,amf-performance_seg04_20211115_092253.csv,0.0
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg08_20211117_055508.csv.ram_usage,amf-performance_seg08_20211117_055508.csv,0.0
scenarioB_amf_seg01,Join_All_BFS,XGBoost,scenarioB_seg01/amf-performance_seg07_20211116_210722.csv.cpu_limit,amf-performance_seg07_20211116_210722.csv,0.0
