scenario,approach,algorithm,feature,source_table,importance
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_00_features.csv.subcarrier_1_imaginary,antenna_00_features.csv,0.484375
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_00_features.csv.user_id,antenna_00_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_68_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_63_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_64_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_64_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_65_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_65_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_66_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_66_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_67_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_67_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_68_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_69_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_62_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_69_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_70_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_70_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_71_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_71_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_72_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_72_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_73_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_73_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_74_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_63_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_62_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_75_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_61_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_51_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_51_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_52_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_52_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_53_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_53_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_54_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_54_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_55_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_55_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_56_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_56_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_57_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_57_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_58_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_58_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_59_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_59_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_60_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_60_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_61_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_74_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_75_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_50_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_88_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_89_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_89_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_90_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_90_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_91_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_91_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_92_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_92_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_93_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_93_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_94_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_94_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_95_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_95_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_96_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_96_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_97_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_97_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_98_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_98_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_99_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_88_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_87_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_76_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_87_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_76_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_77_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_77_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_78_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_78_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_79_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_79_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_80_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_80_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_81_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_81_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_82_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_82_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_83_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_83_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_84_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_84_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_85_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_85_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_86_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_86_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_50_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_49_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_44_features.csv.subcarrier_0_real,antenna_44_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_12_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_13_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_14_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_14_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_15_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_15_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_16_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_16_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_17_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_17_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_18_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_18_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_19_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_19_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_20_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_20_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_21_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_21_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_22_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_22_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_23_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_23_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_13_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_12_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_24_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_11_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_1_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_1_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_2_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_2_imaginary,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_3_real,antenna_40_features.csv,0.0
scenarioK_csi,Join_All_BFS,XGBoost,scenarioK_csi/antenna_40_features.csv.subcarrier_3_imaginary,antenna_40_features.csv,0.0
