fk_table,fk_column,pk_table,pk_column,score
rabbitmq-s1.csv,ram_limit,golang-by-n.csv,cpu_limit,0.30913295652327816
rabbitmq-s1.csv,ram_limit,golang-by-n.csv,ram_usage,0.35646076431425816
rabbitmq-s1.csv,cpu_limit,golang-by-n.csv,cpu_limit,0.4999999999998474
rabbitmq-s1.csv,ram_usage,golang-by-n.csv,ram_usage,0.49999999999974937
rabbitmq-s1.csv,cpu_usage,golang-by-n.csv,cpu_usage,0.49999999999975764
rabbitmq-s1.csv,n,golang-by-n.csv,n,0.6874999999989748
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat50,0.3850497885441516
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat66,0.4007869349603897
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat75,0.37983487402359806
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat80,0.39970920655350567
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat90,0.45231479160436117
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat95,0.48260705994876507
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat98,0.49195662476886304
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat99,0.49999999999960953
rabbitmq-s1.csv,lat99,golang-by-n.csv,lat100,0.40615613791592686
rabbitmq-s1.csv,ram_limit,python-by-n.csv,cpu_limit,0.30913295652327816
rabbitmq-s1.csv,ram_limit,python-by-n.csv,ram_usage,0.35646076431425816
rabbitmq-s1.csv,cpu_limit,python-by-n.csv,cpu_limit,0.5416666666665141
rabbitmq-s1.csv,ram_usage,python-by-n.csv,ram_usage,0.49999999999974937
rabbitmq-s1.csv,cpu_usage,python-by-n.csv,cpu_usage,0.49999999999975764
rabbitmq-s1.csv,n,python-by-n.csv,n,0.6874999999989748
rabbitmq-s1.csv,lat99,python-by-n.csv,lat50,0.3850497885441516
rabbitmq-s1.csv,lat99,python-by-n.csv,lat66,0.4007869349603897
rabbitmq-s1.csv,lat99,python-by-n.csv,lat75,0.37983487402359806
rabbitmq-s1.csv,lat99,python-by-n.csv,lat80,0.39970920655350567
rabbitmq-s1.csv,lat99,python-by-n.csv,lat90,0.45231479160436117
rabbitmq-s1.csv,lat99,python-by-n.csv,lat95,0.48260705994876507
rabbitmq-s1.csv,lat99,python-by-n.csv,lat98,0.49195662476886304
rabbitmq-s1.csv,lat99,python-by-n.csv,lat99,0.49999999999960953
rabbitmq-s1.csv,lat99,python-by-n.csv,lat100,0.40615613791592686
golang-by-n.csv,n,python-by-n.csv,n,1.0
golang-by-n.csv,cpu_limit,python-by-n.csv,cpu_limit,0.5000000000000002
golang-by-n.csv,ram_usage,python-by-n.csv,ram_usage,0.49999999999999994
golang-by-n.csv,cpu_usage,python-by-n.csv,cpu_usage,0.5000000000000001
golang-by-n.csv,lat50,python-by-n.csv,lat50,0.49999999999999994
golang-by-n.csv,lat66,python-by-n.csv,lat66,0.5000000000000001
golang-by-n.csv,lat75,python-by-n.csv,lat75,0.5
golang-by-n.csv,lat80,python-by-n.csv,lat80,0.5
golang-by-n.csv,lat90,python-by-n.csv,lat90,0.5
golang-by-n.csv,lat95,python-by-n.csv,lat95,0.49999999999999994
golang-by-n.csv,lat95,python-by-n.csv,lat98,0.482770455056942
golang-by-n.csv,lat95,python-by-n.csv,lat99,0.4826070712675229
golang-by-n.csv,lat98,python-by-n.csv,lat95,0.482770455056942
golang-by-n.csv,lat98,python-by-n.csv,lat98,0.5000000000000001
golang-by-n.csv,lat98,python-by-n.csv,lat99,0.4919566297388388
golang-by-n.csv,lat99,python-by-n.csv,lat95,0.4826070712675229
golang-by-n.csv,lat99,python-by-n.csv,lat98,0.4919566297388388
golang-by-n.csv,lat99,python-by-n.csv,lat99,0.5
golang-by-n.csv,lat100,python-by-n.csv,lat100,0.5
