n,cpu_limit,ram_usage,cpu_usage,lat50,lat66,lat75,lat80,lat90,lat95,lat98,lat99,lat100
100,1.2,45248512.0,0.02554,3551500.0,3712000.0,3756500.0,3774000.0,3804000.0,3836500.0,3872500.0,3884500.0,3884500.0
200,1.3,51662848.0,0.108249,3853000.0,3979000.0,3995000.0,4097000.0,4112000.0,4145000.0,4161000.0,4173000.0,4178000.0
300,1.3,52459520.0,0.154731,3798000.0,3892000.0,3970000.0,3985500.0,4074500.0,4090500.0,4116000.0,4123000.0,4144000.0
400,1.3,52774912.0,0.16951850000000002,3836500.0,3921000.0,3979000.0,4035000.0,4115000.0,4132000.0,4147000.0,4151000.0,4168000.0
500,1.3,53157888.0,0.173565,3781000.0,3885000.0,3928000.0,3972000.0,4053000.0,4141000.0,4155000.0,4161000.0,4187000.0
600,1.3,53428224.0,0.188056,3801000.0,3910000.0,3963000.0,4006000.0,4092000.0,4158000.0,4175000.0,4181000.0,4193000.0
700,1.3,53637120.0,0.18882749999999998,3806500.0,3899500.0,3930000.0,3975000.0,4081000.0,4138500.0,4168500.0,4173000.0,4189500.0
800,1.3,53563392.0,0.193361,3672500.0,3807500.0,3852000.0,3903000.0,4009000.0,4071500.0,4097500.0,4102000.0,4116500.0
900,1.3,53551104.0,0.196581,3287000.0,3700000.0,3812000.0,3856000.0,3957000.0,4023000.0,4079000.0,4086000.0,4116000.0
1000,1.3,53358592.0,0.202031,3192000.0,3329000.0,3420000.0,3535000.0,3859000.0,3939000.0,4037000.0,4042000.0,4050000.0
