n,cpu_limit,ram_usage,cpu_usage,lat50,lat66,lat75,lat80,lat90,lat95,lat98,lat99,lat100
100,0.7,31506432.0,0.124567,8782000.0,9349000.0,9645000.0,9797000.0,10175000.0,10447000.0,11104000.0,11440000.0,11440000.0
200,0.7,32772096.0,0.464024,9911000.0,10606000.0,10848000.0,11033000.0,11914000.0,12292000.0,12784000.0,13185000.0,13498000.0
300,0.6,33280000.0,0.499957,10889000.0,11545000.0,12022000.0,12226000.0,12867000.0,13521000.0,14197000.0,14588000.0,15213000.0
400,0.5,34238464.0,0.4999985,11230500.0,11950500.0,12485500.0,12627000.0,13303000.0,14281000.0,14841500.0,15198500.0,16394500.0
500,0.5,34988032.0,0.500024,11823000.0,12374000.0,12826000.0,13017000.0,14111000.0,14999000.0,15597000.0,15879000.0,16776000.0
600,0.6,35332096.0,0.600021,11100000.0,11747000.0,12006500.0,12189500.0,13059000.0,13711500.0,14332000.0,14619500.0,15468000.0
700,0.6,35739648.0,0.6000114999999999,11003000.0,11452000.0,11857000.0,12069000.0,12812000.0,13399000.0,13901000.0,14392000.0,15496500.0
800,0.6,35977216.0,0.6,11003500.0,11628500.0,12033000.0,12215500.0,12993000.0,13297500.0,13811000.0,14799000.0,16031500.0
900,0.6,36106240.0,0.600037,11182000.0,11698000.0,12060000.0,12329000.0,13089000.0,13489000.0,14246000.0,14817000.0,16313000.0
1000,0.7,36139008.0,0.618402,10677000.0,11407000.0,11741000.0,11927000.0,12585000.0,13179000.0,13662000.0,13984000.0,15492000.0
