ram_limit,cpu_limit,ram_usage,cpu_usage,n,lat99
4096M,0.5,340267008.0,0.0,50,27320110
4096M,0.5,340267008.0,0.119848,50,28285666
4096M,0.5,340762624.0,0.313978,50,28306874
4096M,0.5,340762624.0,0.411185,50,27970359
4096M,0.5,342523904.0,0.460797,50,27940557
4096M,0.5,449191936.0,0.487091,100,42076031
4096M,0.5,440905728.0,0.487969,100,42146621
4096M,0.5,562581504.0,0.491109,150,46692085
4096M,0.5,572542976.0,0.494942,150,46343792
4096M,0.5,723988480.0,0.498831,200,48589043
4096M,0.5,723988480.0,0.498577,200,48841345
4096M,0.5,695169024.0,0.498639,200,48813036
4096M,0.5,693035008.0,0.498581,200,48982778
4096M,0.5,670658560.0,0.498542,200,48857671
4096M,0.5,705146880.0,0.49849,250,50492601
4096M,0.5,766898176.0,0.497905,250,50479527
4096M,0.5,747798528.0,0.498324,250,50516784
4096M,0.5,882089984.0,0.498312,250,50555011
4096M,0.5,882089984.0,0.498569,250,50463974
4096M,0.5,793751552.0,0.498252,300,51280928
4096M,0.5,969379840.0,0.498436,300,51359507
4096M,0.5,1050451968.0,0.498332,350,52118501
4096M,0.5,1050451968.0,0.497914,350,52346331
4096M,0.5,1150717952.0,0.497847,400,52764204
4096M,0.5,1150717952.0,0.497927,400,52517979
4096M,0.5,1113362432.0,0.496987,450,52505888
4096M,0.5,1216307200.0,0.497581,500,52862131
3968M,0.5,339574784.0,0.068332,50,28320602
3968M,0.5,338649088.0,0.165129,50,27714261
3968M,0.5,331620352.0,0.313021,50,27395892
3968M,0.5,336445440.0,0.407159,50,27918053
3968M,0.5,330817536.0,0.484435,50,27480500
3968M,0.5,454381568.0,0.484602,100,41387269
3968M,0.5,451448832.0,0.486631,100,42261065
3968M,0.5,573513728.0,0.491054,150,46673788
3968M,0.5,573513728.0,0.498467,150,46245723
3968M,0.5,659243008.0,0.498573,200,48572437
3968M,0.5,659243008.0,0.498758,200,48921447
3968M,0.5,813629440.0,0.499077,250,50581604
3968M,0.5,813629440.0,0.498754,250,50616203
