time,ram_limit,cpu_limit,n,lat99
1644249808,4096M,0.5,50,27320110
1644249875,4096M,0.5,50,28285666
1644249942,4096M,0.5,50,28306874
1644250010,4096M,0.5,50,27970359
1644250077,4096M,0.5,50,27940557
1644250146,4096M,0.5,100,42076031
1644250231,4096M,0.5,100,42146621
1644250320,4096M,0.5,150,46692085
1644250414,4096M,0.5,150,46343792
1644250510,4096M,0.5,200,48589043
1644250606,4096M,0.5,200,48841345
1644250701,4096M,0.5,200,48813036
1644250797,4096M,0.5,200,48982778
1644250893,4096M,0.5,200,48857671
1644250990,4096M,0.5,250,50492601
1644251087,4096M,0.5,250,50479527
1644251184,4096M,0.5,250,50516784
1644251281,4096M,0.5,250,50555011
1644251379,4096M,0.5,250,50463974
1644251477,4096M,0.5,300,51280928
1644251576,4096M,0.5,300,51359507
1644251677,4096M,0.5,350,52118501
1644251777,4096M,0.5,350,52346331
1644251879,4096M,0.5,400,52764204
1644251981,4096M,0.5,400,52517979
1644252084,4096M,0.5,450,52505888
1644252189,4096M,0.5,500,52862131
1644252299,3968M,0.5,50,28320602
1644252366,3968M,0.5,50,27714261
1644252433,3968M,0.5,50,27395892
1644252501,3968M,0.5,50,27918053
1644252568,3968M,0.5,50,27480500
1644252637,3968M,0.5,100,41387269
1644252723,3968M,0.5,100,42261065
1644252811,3968M,0.5,150,46673788
1644252906,3968M,0.5,150,46245723
1644253002,3968M,0.5,200,48572437
1644253098,3968M,0.5,200,48921447
1644253195,3968M,0.5,250,50581604
1644253292,3968M,0.5,250,50616203
1644253389,3968M,0.5,250,50541605
1644253683,4096M,0.5,50,27953002
1644253750,4096M,0.5,50,27423882
1644253818,4096M,0.5,50,27818953
1644253885,4096M,0.5,50,28503799
1644253954,4096M,0.5,100,42176298
1644254039,4096M,0.5,100,42165307
1644254510,4096M,0.5,50,256074
1644254572,4096M,0.5,50,256017
1644254635,4096M,0.5,50,245869
1644254698,4096M,0.5,50,246030
1644254766,4096M,0.5,100,17608140
1644254835,4096M,0.5,100,17370584
1644254903,4096M,0.5,100,17204947
1644254972,4096M,0.5,100,16568009
1644255041,4096M,0.5,100,16626925
1644255111,4096M,0.5,150,30371072
1644255182,4096M,0.5,150,30347908
1644255252,4096M,0.5,150,30256448
1644255323,4096M,0.5,150,30482206
1644255393,4096M,0.5,150,30225230
1644255465,4096M,0.5,200,36822753
1644255544,4096M,0.5,200,36822106
1644255623,4096M,0.5,200,37163594
1644255702,4096M,0.5,200,36858232
1644255780,4096M,0.5,200,36851549
1644255860,4096M,0.5,250,41582916
1644255947,4096M,0.5,250,41523808
1644256035,4096M,0.5,250,41745245
1644256122,4096M,0.5,250,41512539
1644256211,4096M,0.5,300,44066451
1644256308,4096M,0.5,300,43956378
1644256405,4096M,0.5,300,43990622
1644256502,4096M,0.5,300,44103959
1644256599,4096M,0.5,300,43597251
1644256697,4096M,0.5,350,46468711
1644256796,4096M,0.5,350,46572788
1644256896,4096M,0.5,350,46499746
1644256995,4096M,0.5,350,46437690
1644257096,4096M,0.5,400,47778078
1644257197,4096M,0.5,400,47623834
1644257298,4096M,0.5,400,47890674
1644257399,4096M,0.5,400,47745353
1644257502,4096M,0.5,400,47820850
1644257604,4096M,0.5,450,48855672
1644257708,4096M,0.5,450,48457128
1644257810,4096M,0.5,450,48172023
1644257913,4096M,0.5,450,48926760
1644258016,4096M,0.5,450,48550811
1644258122,4096M,0.5,500,48760435
1644258362,3968M,0.5,50,235637
1644258425,3968M,0.5,50,188349
1644258487,3968M,0.5,50,262729
1644258550,3968M,0.5,50,184208
1644258613,3968M,0.5,50,211849
1644258681,3968M,0.5,100,16984651
1644258750,3968M,0.5,100,16965153
1644258819,3968M,0.5,100,17180536
1644258887,3968M,0.5,100,16486301
1644258957,3968M,0.5,100,16274027
1644259027,3968M,0.5,150,30426681
1644259097,3968M,0.5,150,30263898
1644259167,3968M,0.5,150,30170109
1644259238,3968M,0.5,150,30155832
1644259308,3968M,0.5,150,30260361
1644259380,3968M,0.5,200,36831449
1644259459,3968M,0.5,200,36683600
1644259538,3968M,0.5,200,36751525
1644259616,3968M,0.5,200,36753323
1644259695,3968M,0.5,200,36891679
1644259775,3968M,0.5,250,41409476
1644259863,3968M,0.5,250,41623180
1644259950,3968M,0.5,250,41537993
1644260038,3968M,0.5,250,41535562
1644260126,3968M,0.5,250,41427764
1644260215,3968M,0.5,300,43385924
1644260312,3968M,0.5,300,43368967
1644260409,3968M,0.5,300,43712187
1644260505,3968M,0.5,300,43532007
1644260602,3968M,0.5,300,43803696
1644260700,3968M,0.5,350,46141929
1644260802,3968M,0.5,400,47895301
1644260904,3968M,0.5,400,47641356
1644261005,3968M,0.5,400,47882948
1644261106,3968M,0.5,400,47702852
1644261207,3968M,0.5,400,47912807
1644261310,3968M,0.5,450,48630985
1644261414,3968M,0.5,450,48569088
1644261517,3968M,0.5,450,48423152
1644261619,3968M,0.5,450,48479382
1644261722,3968M,0.5,450,48397003
1644261827,3968M,0.5,500,48856415
1644261931,3968M,0.5,500,48860064
1644262182,3840M,0.5,50,224149
1644262244,3840M,0.5,50,209671
1644262307,3840M,0.5,50,193363
1644262370,3840M,0.5,50,203370
1644262438,3840M,0.5,100,17052470
1644262507,3840M,0.5,100,16577578
1644262575,3840M,0.5,100,16744770
1644262644,3840M,0.5,100,15949672
1644262713,3840M,0.5,100,16534993
1644262782,3840M,0.5,150,29782543
1644262853,3840M,0.5,150,30227894
1644262924,3840M,0.5,150,29476872
1644262994,3840M,0.5,150,29775609
1644263064,3840M,0.5,150,30365929
1644263136,3840M,0.5,200,36644306
1644263214,3840M,0.5,200,36813384
1644263293,3840M,0.5,200,36549356
1644263372,3840M,0.5,200,36856716
1644263450,3840M,0.5,200,36697689
1644263529,3840M,0.5,250,41322613
