time,ram_limit,cpu_limit,ram_usage,cpu_usage,n
1637079268,4096000000,4.0,344694784.0,0.007965,10
1637079279,4096000000,4.0,409460736.0,0.086579,20
1637079289,4096000000,4.0,453312512.0,0.064967,30
1637079300,4096000000,4.0,486658048.0,0.065496,40
1637079311,4096000000,4.0,559763456.0,0.14625,50
1637079322,4096000000,4.0,609988608.0,0.0,60
1637079333,4096000000,4.0,682246144.0,0.243019,70
1637079344,4096000000,4.0,682246144.0,0.243019,80
1637079551,3840000000,4.0,489836544.0,0.059463,10
1637079562,3840000000,4.0,489791488.0,0.008298,20
1637079769,3584000000,4.0,151695360.0,0.006603,10
1637079779,3584000000,4.0,216252416.0,0.061711,20
1637079790,3584000000,4.0,260202496.0,0.061711,30
1637079801,3584000000,4.0,293646336.0,0.073929,40
1637079812,3584000000,4.0,382308352.0,0.073929,50
1637079823,3584000000,4.0,432525312.0,0.011248,60
1637079834,3584000000,4.0,481652736.0,0.249592,70
1637079846,3584000000,4.0,490549248.0,0.253663,80
1637079857,3584000000,4.0,492593152.0,0.325333,90
1637080062,3328000000,4.0,492601344.0,0.010709,10
1637080072,3328000000,4.0,557219840.0,0.010709,20
1637080083,3328000000,4.0,601206784.0,0.007469,30
1637080093,3328000000,4.0,634527744.0,0.007469,40
1637080104,3328000000,4.0,723513344.0,0.018234,50
1637080115,3328000000,4.0,773636096.0,0.138909,60
1637080127,3328000000,4.0,823316480.0,0.265496,70
1637080139,3328000000,4.0,832733184.0,0.272595,80
1637080150,3328000000,4.0,832733184.0,0.272595,90
1637080162,3328000000,4.0,431673344.0,0.402446,100
1637080174,3328000000,4.0,431673344.0,0.233992,110
1637080388,3072000000,4.0,504262656.0,0.003711,10
1637080399,3072000000,4.0,578760704.0,0.056269,20
1637080410,3072000000,4.0,603774976.0,0.056269,30
1637080420,3072000000,4.0,668368896.0,0.086575,40
1637080431,3072000000,4.0,710152192.0,0.086575,50
1637080442,3072000000,4.0,815976448.0,0.123524,60
1637080454,3072000000,4.0,836956160.0,0.243294,70
1637080465,3072000000,4.0,836956160.0,0.243294,80
1637080674,2816000000,4.0,481222656.0,0.009405,10
1637080685,2816000000,4.0,545939456.0,0.062158,20
1637080695,2816000000,4.0,589893632.0,0.059928,30
1637080706,2816000000,4.0,589893632.0,0.059928,40
1637080717,2816000000,4.0,695721984.0,0.054395,50
1637080728,2816000000,4.0,755712000.0,0.01373,60
1637080739,2816000000,4.0,812277760.0,0.235235,70
1637080750,2816000000,4.0,812277760.0,0.235235,80
1637080962,2560000000,4.0,479703040.0,0.000153,10
1637080973,2560000000,4.0,554176512.0,0.01077,20
1637080983,2560000000,4.0,579141632.0,0.01077,30
1637080994,2560000000,4.0,612458496.0,0.0,40
1637081005,2560000000,4.0,685670400.0,0.018192,50
1637081016,2560000000,4.0,788807680.0,0.108765,60
1637081027,2560000000,4.0,819335168.0,0.285201,70
1637081038,2560000000,4.0,819335168.0,0.292037,80
1637081050,2560000000,4.0,420798464.0,0.292037,90
1637081063,2560000000,4.0,431116288.0,0.471864,100
1637081075,2560000000,4.0,436727808.0,0.289179,110
1637081087,2560000000,4.0,441851904.0,0.289179,120
1637081099,2560000000,4.0,449814528.0,0.449714,130
1637081111,2560000000,4.0,456093696.0,0.449714,140
1637081127,2560000000,4.0,463347712.0,0.485685,150
1637081139,2560000000,4.0,472150016.0,0.492842,160
1637081152,2560000000,4.0,519090176.0,0.492842,170
