time,ram_usage,cpu_usage
1636553178,75722752.0,0.0037
1636553188,140255232.0,0.0037
1636553199,184238080.0,0.052663
1636553210,217681920.0,0.052663
1636553221,305606656.0,0.120889
1636553232,356622336.0,0.120889
1636553243,412884992.0,0.249958
1636553254,417267712.0,0.249958
1636553267,421892096.0,0.399306
1636553278,421892096.0,0.240794
1636553476,448122880.0,0.0057
1636553487,562274304.0,0.0
1636553497,606273536.0,0.016066
1636553508,639688704.0,0.016066
1636553519,681287680.0,0.0
1636553530,778563584.0,0.105559
1636553542,834224128.0,0.33184
1636553553,838496256.0,0.246502
1636553566,842719232.0,0.347677
1636553578,429604864.0,0.347677
1636553589,433360896.0,0.340037
1636553601,440102912.0,0.486821
1636553613,445677568.0,0.486821
1636553629,452784128.0,0.573533
1636553642,461975552.0,0.539525
1636553654,468828160.0,0.456806
1636553673,480653312.0,0.531007
1636553686,488517632.0,0.519589
1636553699,499134464.0,0.431666
1636553717,507129856.0,0.674343
1636553738,519012352.0,0.70743
1636553760,529846272.0,0.619805
1636553780,541437952.0,0.740856
1636553803,553050112.0,0.936727
1636553825,567529472.0,0.764781
1636553846,578985984.0,0.655772
1636554058,659156992.0,0.01138
1636554068,723648512.0,0.01138
1636554079,767377408.0,0.068614
1636554090,800911360.0,0.068614
1636554101,889491456.0,0.169702
1636554112,939720704.0,0.169702
1636554125,987586560.0,0.256353
1636554136,997277696.0,0.377196
1636554148,1004253184.0,0.377196
1636554160,1004253184.0,0.366896
1636554172,432480256.0,0.366896
1636554184,438505472.0,0.30767
1636554196,443654144.0,0.30767
1636554211,451289088.0,0.414731
1636554224,458952704.0,0.452184
1636554237,466751488.0,0.452184
1636554253,476946432.0,0.554053
1636554277,533753856.0,0.40688
1636554295,542142464.0,0.698835
1636554317,551628800.0,0.509997
1636554530,626094080.0,0.0
1636554541,694079488.0,0.070828
1636554552,737923072.0,0.01017
1636554563,771387392.0,0.01017
1636554858,290095104.0,0.0
1636554868,290095104.0,0.0
1636554879,140533760.0,0.0
1636554889,217878528.0,0.053926
1636554900,306728960.0,0.101052
1636554911,356835328.0,0.131976
1636554923,412004352.0,0.249553
1636554934,416661504.0,0.249553
1636554945,421105664.0,0.285719
1636554957,430587904.0,0.38163
1636554969,436195328.0,0.311608
1636554980,441384960.0,0.394314
1636554992,447328256.0,0.475604
1636555005,454770688.0,0.516287
1636555018,460894208.0,0.516287
1636555033,468819968.0,0.459242
1636555046,477650944.0,0.56619
1636555060,543440896.0,0.56619
1636555080,556605440.0,0.427083
1636555097,566796288.0,0.536488
1636555119,576536576.0,0.571991
1636555142,586776576.0,0.740285
1636555161,598036480.0,0.624625
1636555183,609361920.0,0.710692
1636555208,622665728.0,0.823236
1636555227,635768832.0,0.928746
1636555250,649134080.0,0.886891
1636555273,662102016.0,0.824098
1636555296,678223872.0,0.746959
1636555323,693059584.0,1.024457
1636555350,708014080.0,1.222709
1636555379,725262336.0,0.978312
1636555411,742789120.0,0.740763
1636555444,760213504.0,1.017904
1636555479,780120064.0,0.996544
1636555516,799039488.0,1.210739
1636555554,816726016.0,1.276808
1636555596,837242880.0,0.881292
1636555642,858120192.0,0.875193
1636555686,881463296.0,0.978793
1636555735,902504448.0,0.899309
1636555785,925630464.0,0.789552
1636555839,949350400.0,1.172361
1636555895,972263424.0,1.135866
1636555954,997380096.0,1.028181
1636556014,1021845504.0,0.969411
1636556079,1048883200.0,1.052405
1636556145,1075277824.0,1.147444
1636556214,1102979072.0,1.040265
1636556285,1130758144.0,1.007388
1636556484,1206652928.0,0.00402
1636556494,1271042048.0,0.058732
1636556505,1314910208.0,0.060246
1636556515,1348313088.0,0.060246
1636556526,1437007872.0,0.119225
1636556537,1487216640.0,0.00826
1636556548,1537056768.0,0.24134
1636556560,1546403840.0,0.249071
1636556571,1551818752.0,0.371978
1636556583,1557741568.0,0.375588
1636556594,435908608.0,0.375588
1636556606,442175488.0,0.411564
1636556618,447807488.0,0.553053
1636556634,452956160.0,0.565214
1636556646,461721600.0,0.525587
1636556659,469921792.0,0.525587
1636556677,480014336.0,0.609582
1636556690,547336192.0,0.559604
1636556703,558026752.0,0.640239
1636556720,565583872.0,0.67778
1636556742,577294336.0,0.551738
1636556955,651325440.0,0.035575
1636556965,719437824.0,0.068594
1636556976,744603648.0,0.068594
1636556987,796844032.0,0.017263
1636556998,885506048.0,0.070179
1636557009,935604224.0,0.070179
1636557021,985243648.0,0.305094
1636557032,996851712.0,0.36166
1636557044,999796736.0,0.245186
1636557056,999796736.0,0.279892
1636557068,434053120.0,0.279892
1636557080,439644160.0,0.427087
1636557093,445079552.0,0.541163
1636557110,451211264.0,0.664157
1636557122,459395072.0,0.647166
1636557136,466255872.0,0.367859
1636557151,477401088.0,0.451518
1636557173,533413888.0,0.609622
1636557194,545959936.0,0.517588
1636557215,552615936.0,0.507738
1636557237,565563392.0,0.558235
1636557259,575434752.0,0.765949
1636557280,587612160.0,0.635734
1636557303,598724608.0,0.812759
1636557327,612528128.0,0.84949
1636557352,624070656.0,0.85827
1636557376,638529536.0,0.78877
1636557400,651284480.0,0.825363
1636557427,667222016.0,0.943709
1636557480,682872832.0,0.791664
1636557517,699748352.0,0.987908
1636557582,720355328.0,0.900813
1636557649,740380672.0,0.934801
1636557718,760594432.0,0.86172
1636557791,784117760.0,0.850983
1636557871,806367232.0,0.957321
1636557956,827858944.0,0.892458
1636558047,852090880.0,0.862628
1636558140,877436928.0,0.978176
1636558239,903852032.0,0.864823
1636558339,931483648.0,0.865434
1636558444,959242240.0,0.925441
1636558622,1011965952.0,0.996645
1636558817,1067683840.0,0.899874
1636559416,1229537280.0,0.039573
1636559426,1293795328.0,0.089099
1636559437,1337946112.0,0.008015
1636559447,1371303936.0,0.008015
1636559459,1459998720.0,0.014787
1636559470,1510084608.0,0.097368
1636559481,1556021248.0,0.30259
1636559493,1559351296.0,0.30259
1636559692,482279424.0,0.011828
1636559703,546713600.0,0.011828
1636559713,590589952.0,0.014823
1636559724,624025600.0,0.014823
1636559735,712847360.0,0.06962
1636559746,762994688.0,0.113841
1636559757,813809664.0,0.280052
1636559768,822996992.0,0.243098
1636559780,822996992.0,0.243098
1636559980,489144320.0,0.043972
1636559991,557121536.0,0.049622
1636560001,601022464.0,0.052478
1636560012,634462208.0,0.0
1636560023,723095552.0,0.043276
1636560034,773312512.0,0.043276
1636560045,822394880.0,0.25367
1636560057,830910464.0,0.27619
1636560255,486690816.0,0.065981
1636560265,554594304.0,0.071028
1636560276,598528000.0,0.071028
1636560287,631713792.0,0.008673
1636560298,720396288.0,0.011597
1636560310,770441216.0,0.011597
1636560322,820129792.0,0.298907
1636560334,830296064.0,0.294144
1636560346,834723840.0,0.300571
1636560358,834936832.0,0.364677
1636560370,434954240.0,0.364677
1636560385,440315904.0,0.276787
1636560398,447586304.0,0.508518
1636560411,453079040.0,0.399862
1636560429,460136448.0,0.479414
1636560442,468762624.0,0.627696
1636560456,477798400.0,0.411616
1636560472,535031808.0,0.675943
1636560493,547258368.0,0.565968
1636560516,555458560.0,0.569484
1636560535,565653504.0,0.516528
1636560557,576249856.0,0.628049
1636560581,588324864.0,0.706661
1636560601,598671360.0,0.883552
1636560819,678531072.0,0.006386
1636560830,743182336.0,0.041714
1636560840,787193856.0,0.041714
1636560851,820486144.0,0.039366
1636560862,909033472.0,0.047289
1636560874,959217664.0,0.047289
1636560885,1003356160.0,0.249708
1636560897,1020264448.0,0.334128
1636560909,1023762432.0,0.29257
1636560921,1023762432.0,0.361351
1636560933,437243904.0,0.361351
1636560946,442617856.0,0.437509
1636560960,447709184.0,0.262928
1636560974,454823936.0,0.5891
1636560987,461819904.0,0.62854
1636561001,469401600.0,0.390707
1636561015,478781440.0,0.491576
1636561037,547241984.0,0.54586
1636561057,557228032.0,0.648868
1636561079,564961280.0,0.531079
1636561101,576032768.0,0.599306
1636561122,586674176.0,0.618382
1636561146,598298624.0,0.703716
1636561166,608464896.0,0.931869
1636561189,622034944.0,0.928423
1636561216,633081856.0,0.925929
1636561256,648192000.0,0.853769
1636561287,664129536.0,0.926098
1636561315,679608320.0,0.940288
1636561369,696528896.0,0.86347
1636561403,711221248.0,0.850634
1636561464,732123136.0,0.927113
1636561533,752058368.0,0.858864
1636561601,773279744.0,0.840073
1636561640,792817664.0,0.841528
1636561720,815210496.0,0.86891
1636561803,837230592.0,0.888672
1636561893,861708288.0,0.981265
1636561983,886616064.0,0.90151
1636562085,914997248.0,0.983066
1636562182,940740608.0,0.881272
1636562289,968445952.0,0.788442
1636562466,1020444672.0,0.93217
1636562656,1073631232.0,0.945377
1636562863,1073721344.0,0.927493
1636563264,1149042688.0,0.003953
1636563274,1213681664.0,0.003953
1636563285,1257672704.0,0.01453
1636563295,1291096064.0,0.01453
1636563306,1379549184.0,0.164139
1636563317,1429561344.0,0.164139
1636563329,1475911680.0,0.238168
1636563340,1488945152.0,0.245971
1636563351,1493614592.0,0.37021
1636563363,1494233088.0,0.37021
1636563565,496803840.0,0.027649
1636563575,561512448.0,0.118995
1636563586,605532160.0,0.043405
1636563597,638803968.0,0.008906
1636563607,727482368.0,0.007823
1636563618,777662464.0,0.013434
