time,ram_usage,cpu_usage
1636467153,43921408.0,0.064585
1636467174,43921408.0,0.0
1636467195,43921408.0,0.0
1636467216,43921408.0,0.0
1636467237,43921408.0,0.0
1636467259,43921408.0,0.0
1636467286,43921408.0,0.0
1636467309,43921408.0,0.0
1636467334,43921408.0,0.0
1636467360,43921408.0,0.0
1636467387,43921408.0,0.0
1636467418,0.0,0.0
1636467457,0.0,0.0
1636467494,0.0,0.0
1636467526,0.0,0.0
1636467564,0.0,0.0
1636467600,0.0,0.0
1636467638,0.0,0.0
1636467677,0.0,0.0
1636467711,0.0,0.0
1636467809,0.0,0.0
1636467851,0.0,0.0
1636467894,0.0,0.0
1636467947,0.0,0.0
1636467999,0.0,0.0
1636468048,0.0,0.0
1636468104,0.0,0.0
1636468223,0.0,0.0
1636468265,0.0,0.0
1636468308,0.0,0.0
1636468355,0.0,0.0
1636468408,0.0,0.0
1636468460,0.0,0.0
1636468532,0.0,0.0
1636468603,0.0,0.0
1636468766,0.0,0.0
1636468820,0.0,0.0
1636468900,0.0,0.0
1636468982,0.0,0.0
1636469048,0.0,0.0
1636469138,0.0,0.0
1636469200,0.0,0.0
1636469269,0.0,0.0
1636469360,0.0,0.0
1636469571,0.0,0.0
1636469803,0.0,0.0
1636469912,0.0,0.0
1636470239,0.0,0.0
1636472056,63508480.0,0.467556
1636472188,64606208.0,0.479618
1636472342,66363392.0,0.493969
1636472484,70930432.0,0.500076
1636472511,70930432.0,0.486262
1636472537,70983680.0,0.486262
1636472565,70983680.0,0.467595
1636472595,67383296.0,0.467425
1636472623,68702208.0,0.468715
1636472655,68702208.0,0.48572
1636472799,65695744.0,0.48572
1636472849,65892352.0,0.501322
1636472903,66347008.0,0.501085
1636472967,62304256.0,0.49976
1636473115,61997056.0,0.493609
1636473179,63537152.0,0.49411
1636473259,66510848.0,0.493826
1636473349,67772416.0,0.485833
1636473460,68505600.0,0.486178
1636473554,69066752.0,0.503052
1636474268,69443584.0,0.504397
1636474800,65847296.0,0.488618
1636474865,68026368.0,0.488852
1636475225,68497408.0,0.501366
1636476666,69459968.0,0.504086
1636476923,71020544.0,0.502719
1636477016,71020544.0,0.502474
1636477098,67665920.0,0.501915
1636477189,67371008.0,0.502556
1636477280,64008192.0,0.50438
1636477377,63926272.0,0.504622
1636477495,64933888.0,0.504169
1636477611,67104768.0,0.503556
1636477730,69206016.0,0.503202
1636477845,69582848.0,0.503439
1636479000,65433600.0,0.503949
1636479489,69292032.0,0.504547
1636480076,71761920.0,0.505013
1636482271,60968960.0,0.356033
1636482340,60207104.0,0.360309
1636482419,62988288.0,0.393701
1636482508,64659456.0,0.466221
1636482602,67604480.0,0.479008
1636482720,70524928.0,0.467688
1636486080,52543488.0,0.303902
1636486126,54292480.0,0.355739
1636486184,58839040.0,0.388297
1636486269,60772352.0,0.422396
1636486343,63578112.0,0.452151
1636486440,66678784.0,0.455906
1636486525,69857280.0,0.45951
1636486663,70254592.0,0.473215
1636489763,64237568.0,0.386081
1636489788,64290816.0,0.411172
1636489813,58445824.0,0.430821
1636489843,57946112.0,0.430821
1636489874,59842560.0,0.444598
1636489908,59842560.0,0.481854
1636489947,61198336.0,0.484041
1636489990,63041536.0,0.49389
1636490026,63094784.0,0.49596
1636490314,63991808.0,0.501344
1636490465,60129280.0,0.501127
1636490705,63426560.0,0.498073
1636490944,65261568.0,0.485751
1636491221,67428352.0,0.486364
1636493039,55398400.0,0.252672
1636493090,53559296.0,0.284496
1636493156,56578048.0,0.318563
1636493230,60063744.0,0.435106
1636493321,64012288.0,0.478413
1636493407,65884160.0,0.467031
1636493528,66805760.0,0.453089
1636493632,67514368.0,0.468592
1636494142,33521664.0,0.0
1636494180,43376640.0,0.039923
1636494221,48689152.0,0.124783
1636494269,53080064.0,0.161243
1636494311,56086528.0,0.241858
1636494374,57843712.0,0.322362
1636494419,60940288.0,0.358962
1636494482,61788160.0,0.403675
1636494530,62963712.0,0.406406
1636494578,64065536.0,0.406406
1636494636,64376832.0,0.413847
1636494712,64389120.0,0.41513
1636494787,61476864.0,0.423547
1636494885,61026304.0,0.438878
1636495028,60825600.0,0.457099
1636495178,63598592.0,0.471348
1636495320,66375680.0,0.485692
1636495955,41029632.0,0.0
1636495990,46665728.0,0.06526
1636496030,51515392.0,0.099743
1636496071,57372672.0,0.137312
1636496108,60846080.0,0.181567
1636496158,60846080.0,0.255483
1636496212,60444672.0,0.337246
1636496281,62697472.0,0.388009
1636496342,64102400.0,0.409948
1636496403,65343488.0,0.417807
1636496525,65343488.0,0.433216
1636496619,61915136.0,0.447034
1636496710,61915136.0,0.449829
1636496824,58753024.0,0.456288
1636496964,60284928.0,0.468277
1636497105,65212416.0,0.469869
1636498075,37441536.0,0.0
1636498115,42999808.0,0.046251
1636498160,49442816.0,0.119656
1636498204,54497280.0,0.156379
1636498247,56107008.0,0.23304
1636498290,56107008.0,0.237564
1636498353,57262080.0,0.35624
1636498412,60305408.0,0.40619
1636498488,64081920.0,0.414299
1636500174,63053824.0,0.426702
1636500200,61886464.0,0.425249
1636500227,61894656.0,0.425249
1636500254,61898752.0,0.43732
1636500277,61898752.0,0.43732
1636500302,61698048.0,0.43976
1636500328,59375616.0,0.473534
1636500349,56979456.0,0.49195
1636500374,56598528.0,0.493033
1636500415,61407232.0,0.493033
1636500682,61550592.0,0.495187
1636500902,59326464.0,0.500997
1636501044,63111168.0,0.500627
1636501204,63246336.0,0.488681
1636501805,33894400.0,0.0
1636501887,40521728.0,0.103168
1636501927,48713728.0,0.104761
1636501977,53387264.0,0.205328
1636502057,53501952.0,0.343457
1636502101,56115200.0,0.376778
1636502154,56778752.0,0.39234
1636502211,60243968.0,0.411023
1636502274,61370368.0,0.419735
1636502367,61505536.0,0.42421
1636502441,61452288.0,0.426387
1636502512,59801600.0,0.449621
1636502632,58093568.0,0.457999
1636502785,58433536.0,0.467926
1636502941,61460480.0,0.468927
1636504615,57159680.0,0.246842
1636504637,57159680.0,0.239515
1636504658,60801024.0,0.239515
1636504679,61083648.0,0.262805
1636504700,61083648.0,0.318026
1636504721,60497920.0,0.347834
1636504743,61116416.0,0.347834
1636504764,61116416.0,0.332384
1636504788,61890560.0,0.396233
1636504809,65044480.0,0.396233
1636504889,67428352.0,0.494403
1636504944,66179072.0,0.534749
1636504994,67633152.0,0.589422
1636505048,69939200.0,0.642791
1636505103,72073216.0,0.702244
1636505470,73400320.0,1.000062
1636505503,73138176.0,0.997381
1636505536,68341760.0,0.96225
1636505569,69001216.0,0.958529
1636505602,67973120.0,0.95878
1636505696,69259264.0,0.937045
1636505824,68755456.0,0.906228
1636505923,68481024.0,0.899878
1636506026,71720960.0,0.931331
1636506122,71720960.0,0.931795
1636507664,35225600.0,0.0
1636507685,42688512.0,0.0
1636507706,47378432.0,0.048787
1636507726,47378432.0,0.089497
1636507748,50614272.0,0.089497
1636507769,52461568.0,0.115426
1636507790,52461568.0,0.149668
1636507811,61005824.0,0.186269
1636507833,64090112.0,0.186269
1636507854,64090112.0,0.235577
1636507876,68468736.0,0.275594
1636507906,68468736.0,0.282913
1636507938,63741952.0,0.38287
1636507971,56418304.0,0.428054
